teff,logg,period
3826.0,4.77,15.656
3876.0,4.45,28.506
4342.0,4.69,10.565
4216.0,4.78,15.773
4115.0,4.34,12.228
4084.0,4.62,31.247
4008.0,4.49,39.139
4138.0,4.59,14.936
4187.0,4.63,19.535
4368.0,4.62,17.91
3748.0,4.78,17.362
3742.0,4.77,34.672
4352.0,4.52,17.347
4349.0,4.53,0.469
4229.0,4.58,19.128
4395.0,4.47,32.621
3825.0,4.49,37.159
4088.0,4.32,7.9
4325.0,4.62,20.453
4273.0,4.87,13.621
3724.0,4.51,40.417
4309.0,4.51,19.613
3550.0,4.87,35.534
3475.0,4.87,34.012
4403.0,4.49,11.855
3999.0,4.69,21.357
4195.0,4.33,37.221
4168.0,4.57,16.013
3683.0,4.35,40.955
4389.0,4.47,25.652
3428.0,4.9,1.96
4377.0,4.64,39.212
3430.0,4.9,30.577
3921.0,4.54,18.321
4091.0,4.42,23.586
3966.0,4.68,8.099
4217.0,4.5,25.005
4364.0,4.59,28.42
3708.0,4.81,40.883
3757.0,4.77,42.256
4299.0,4.54,11.004
3689.0,4.82,29.504
4376.0,4.6,17.421
3646.0,4.87,15.954
4340.0,4.38,22.128
4315.0,4.58,0.54
4253.0,4.68,36.521
3503.0,4.92,21.537
3395.0,4.92,38.195
4051.0,4.51,21.441
4222.0,4.58,14.279
3637.0,5.0,30.32
3484.0,4.87,47.46
4283.0,4.43,14.253
4310.0,4.54,1.541
3682.0,4.9,31.927
3698.0,4.81,41.629
4194.0,4.5,0.911
4367.0,4.68,28.263
3546.0,4.87,22.776
4212.0,4.42,14.884
4025.0,4.59,20.713
4210.0,4.74,27.251
4278.0,4.65,11.374
4313.0,4.37,24.972
3477.0,4.87,45.399
3596.0,4.9,31.916
3724.0,4.43,23.039
3667.0,4.82,29.671
4215.0,4.54,1.255
3683.0,4.91,29.484
3740.0,4.44,28.49
3596.0,4.94,31.637
3877.0,4.74,23.766
4325.0,4.54,33.472
4233.0,4.58,35.898
3888.0,4.71,41.977
4285.0,4.52,6.737
4064.0,4.71,41.696
4084.0,4.44,27.394
4107.0,4.54,10.069
3858.0,4.74,39.309
