HIP,RAhms,DEdms,vmag,VarFlag,HD,spectral_type,tic,logg,teff,ra,dec,ms,rs,period
10798,02 18 58.65,-25 56 48.4,6.33,,14412.0,G8V,72748794.0,4.63301,5373.0,34.743769552747395,-25.945687061086396,0.93,0.770494,27.44010721815114
117712,23 52 24.52,+75 32 40.2,6.36,,223778.0,K3V,265344685.0,4.53022,4721.48,358.10586119073304,75.5445468311722,0.790000021457672,,15.317130015055747
115577,23 24 42.13,-52 42 05.4,7.59,,220507.0,G5V,469934028.0,4.23861,5693.67,351.1754806653521,-52.7018781224494,1.01,1.26442,25.438962539677526
23311,05 00 48.68,-05 45 03.5,6.22,,32147.0,K3V,213041474.0,4.61022,4930.93,75.20416315328421,-5.75367250077677,0.81,0.73819,20.804298668272647
25623,05 28 26.28,-03 29 51.4,7.65,,36003.0,K5V,50587969.0,4.62115,4616.17,82.10873114326291,-3.49955469496921,0.73,0.692021,32.69831072129047
43299,08 49 15.33,-15 33 52.8,7.27,,75393.0,F7V,114824306.0,4.27915,6061.78,132.313914260233,-15.5647149647935,1.13,1.27643,20.039996498692506
106122,21 29 46.46,+45 53 37.1,7.93,,204814.0,G8V,240283563.0,4.4925,5345.0,322.445071647393,45.89448890273521,0.92,0.900898,26.72895631289902
82260,16 48 28.38,-16 20 02.0,7.62,,151528.0,G8V,12513468.0,4.37498,5762.0,252.117982359727,-16.3345307040864,1.03,1.09135,10.694907410150465
41844,08 31 55.11,+50 37 03.1,7.44,,71881.0,G1V,282854588.0,4.30069,5884.0,127.979316021233,50.6166915317836,1.07,1.21166,12.473536680402198
86385,17 39 05.97,-26 56 14.6,7.7,,160089.0,F8V,201126055.0,4.2941699999999985,6077.34,264.77483683626303,-26.937564803499498,1.14,1.26009,10.402904370459527
7599,01 37 53.59,-60 30 41.6,7.33,,10180.0,G1V,231836962.0,4.32494,5901.36,24.4732390487091,-60.5115237328827,1.07,1.17829,11.067741799746885
20802,04 27 26.56,-29 11 49.0,7.75,,28388.0,G6V,178858961.0,4.0991300000000015,5357.0,66.860862433829,-29.1966671749168,1.125,2.93712,22.384028693729647
64219,13 09 42.46,-22 11 30.4,7.36,,114260.0,G6V,415843217.0,4.4793400000000005,5499.8,197.427304393787,-22.1925510799975,0.96,0.934326,17.72375990895927
26534,05 38 37.80,-16 55 08.5,7.59,,37548.0,G3V,46556441.0,4.12271,5917.99,84.65778056625571,-16.9192882555812,1.08,1.49414,16.55691892927379
108736,22 01 36.47,-53 05 32.5,7.12,,208998.0,G0V,140069652.0,4.31308,5917.56,330.402180619142,-53.0935792297108,1.08,1.20006,8.503774929285827
1349,00 16 53.59,-52 39 05.7,6.84,,1273.0,G2V,155896956.0,4.46999979019165,5664.51,4.2245605483497295,-52.6511498202616,0.782999992370605,0.914298,4.9277052134206825
63742,13 03 49.77,-05 09 40.6,7.69,2.0,113449.0,G5V,124612531.0,4.598319999999998,5331.65,195.95691381807998,-5.16181460323935,0.839999973773956,0.785305,14.929237585756104
12281,02 38 12.05,-41 54 15.9,7.23,,16591.0,K0V,142242830.0,4.72452,4965.0,39.5506284349949,-41.904297244479295,0.959999978542328,3.09188,11.41381701715261
7902,01 41 36.70,+66 54 38.1,7.7,,10145.0,G5V,279209741.0,4.38517,5650.0,25.407208380060602,66.9099422577861,1,1.06279,14.023240220695598
15940,03 25 15.13,-15 02 18.8,7.98,,21252.0,G3V,423448777.0,4.01518,5621.5,51.312679857622996,-15.0392327973858,1,1.62721,15.158229642085935
14286,03 04 08.75,+61 42 27.1,6.64,,18757.0,G4V,286636275.0,4.40674,5736.59,46.0401436762945,61.70582203918429,1.02,1.04704,18.661139738928053
39342,08 02 31.41,-66 01 14.2,7.18,,67199.0,K1V,306735869.0,4.56838,5142.71,120.629946683444,-66.02093884230389,0.87,0.802797,6.009783860614684
6693,01 25 56.13,-47 53 54.8,7.86,,8821.0,K0V,199731283.0,4.94700002670288,5064.0,21.483602,-47.898919,0.523000001907349,,24.2811102143366
63333,12 58 40.98,+27 28 29.5,7.97,,112753.0,G0V,359123126.0,4.05499982833862,5861.0,194.670404,27.474383000000003,1.03400003910065,,10.449774767815073
21847,04 41 50.08,+38 16 49.5,5.97,,29645.0,G0V,156157340.0,4.01075,6008.8,70.45939929108229,38.2801816287027,1.11,1.7231299999999998,0.7434525033097558
79242,16 10 16.98,-84 13 53.5,7.7,1.0,142022.0,K0V,290493086.0,4.38981,5497.84,242.56261191861802,-84.23161492017809,0.96,1.03578,2.536810426081921
32984,06 52 18.37,-05 10 25.3,6.58,,50281.0,K3V,282210766.0,4.62729,4718.93,103.075210259489,-5.17371282347053,0.76,0.701122,40.98897943709277
62661,12 50 20.48,-30 34 37.8,7.61,,111564.0,G0V,454005387.0,4.33956,6003.56,192.58410202328,-30.577088531350004,1.11,1.18008,17.206938172072856
66486,13 37 48.15,-35 03 53.2,7.19,,118465.0,G3V,107289258.0,4.41576,5836.0,204.450459332794,-35.064841304156104,1.05,1.05136,15.706800720653522
114670,23 13 48.22,+15 22 04.1,7.37,,219172.0,F8V,97187032.0,4.31933,6154.4,348.450969329646,15.3676328944675,1.17,1.24012,26.5808126544938
