#      CDF      prot
#             (days)
    0.0068      6.36
    0.0168      6.80
    0.0268      7.23
    0.0369      7.64
    0.0469      8.03
    0.0569      8.41
    0.0670      8.78
    0.0770      9.14
    0.0870      9.49
    0.0971      9.83
    0.1071     10.17
    0.1171     10.51
    0.1272     10.84
    0.1372     11.17
    0.1472     11.49
    0.1573     11.81
    0.1673     12.13
    0.1773     12.45
    0.1874     12.77
    0.1974     13.08
    0.2074     13.40
    0.2175     13.71
    0.2275     14.02
    0.2375     14.33
    0.2476     14.63
    0.2576     14.94
    0.2676     15.24
    0.2776     15.55
    0.2877     15.85
    0.2977     16.15
    0.3077     16.44
    0.3178     16.74
    0.3278     17.03
    0.3378     17.33
    0.3479     17.62
    0.3579     17.91
    0.3679     18.19
    0.3780     18.48
    0.3880     18.76
    0.3980     19.04
    0.4081     19.32
    0.4181     19.60
    0.4281     19.87
    0.4382     20.15
    0.4482     20.42
    0.4582     20.69
    0.4683     20.96
    0.4783     21.22
    0.4883     21.49
    0.4984     21.75
    0.5084     22.01
    0.5184     22.27
    0.5285     22.52
    0.5385     22.78
    0.5485     23.03
    0.5586     23.28
    0.5686     23.53
    0.5786     23.78
    0.5887     24.03
    0.5987     24.28
    0.6087     24.52
    0.6188     24.77
    0.6288     25.01
    0.6388     25.25
    0.6489     25.50
    0.6589     25.74
    0.6689     25.98
    0.6790     26.22
    0.6890     26.46
    0.6990     26.71
    0.7091     26.95
    0.7191     27.19
    0.7291     27.44
    0.7392     27.69
    0.7492     27.94
    0.7592     28.19
    0.7692     28.44
    0.7793     28.70
    0.7893     28.96
    0.7993     29.22
    0.8094     29.49
    0.8194     29.77
    0.8294     30.04
    0.8395     30.33
    0.8495     30.63
    0.8595     30.93
    0.8696     31.24
    0.8796     31.56
    0.8896     31.90
    0.8997     32.25
    0.9097     32.62
    0.9197     33.02
    0.9298     33.43
    0.9398     33.88
    0.9498     34.36
    0.9599     34.89
    0.9699     35.47
    0.9799     36.13
    0.9900     36.90
    1.0000     37.81
