#      CDF      prot
#             (days)
    0.0269      0.43
    0.0367      0.50
    0.0465      0.57
    0.0563      0.64
    0.0662      0.70
    0.0760      0.77
    0.0858      0.83
    0.0957      0.89
    0.1055      0.95
    0.1153      1.01
    0.1252      1.07
    0.1350      1.13
    0.1448      1.19
    0.1546      1.24
    0.1645      1.30
    0.1743      1.35
    0.1841      1.41
    0.1940      1.46
    0.2038      1.52
    0.2136      1.57
    0.2235      1.62
    0.2333      1.68
    0.2431      1.73
    0.2529      1.78
    0.2628      1.84
    0.2726      1.89
    0.2824      1.94
    0.2923      1.99
    0.3021      2.04
    0.3119      2.10
    0.3217      2.15
    0.3316      2.20
    0.3414      2.25
    0.3512      2.31
    0.3611      2.36
    0.3709      2.41
    0.3807      2.46
    0.3906      2.52
    0.4004      2.57
    0.4102      2.62
    0.4200      2.68
    0.4299      2.73
    0.4397      2.79
    0.4495      2.84
    0.4594      2.90
    0.4692      2.95
    0.4790      3.01
    0.4889      3.07
    0.4987      3.13
    0.5085      3.18
    0.5183      3.24
    0.5282      3.30
    0.5380      3.36
    0.5478      3.43
    0.5577      3.49
    0.5675      3.55
    0.5773      3.62
    0.5872      3.68
    0.5970      3.75
    0.6068      3.82
    0.6166      3.89
    0.6265      3.96
    0.6363      4.04
    0.6461      4.11
    0.6560      4.19
    0.6658      4.27
    0.6756      4.36
    0.6854      4.44
    0.6953      4.53
    0.7051      4.63
    0.7149      4.72
    0.7248      4.82
    0.7346      4.93
    0.7444      5.04
    0.7543      5.16
    0.7641      5.29
    0.7739      5.42
    0.7837      5.56
    0.7936      5.72
    0.8034      5.89
    0.8132      6.08
    0.8231      6.30
    0.8329      6.54
    0.8427      6.83
    0.8526      7.16
    0.8624      7.58
    0.8722      8.08
    0.8820      8.70
    0.8919      9.40
    0.9017     10.16
    0.9115     10.94
    0.9214     11.74
    0.9312     12.56
    0.9410     13.47
    0.9509     14.54
    0.9607     15.80
    0.9705     17.06
    0.9803     18.16
    0.9902     19.20
    1.0000     20.34
