#      CDF      prot
#             (days)
    0.0064      0.40
    0.0164      1.22
    0.0264      1.96
    0.0365      2.66
    0.0465      3.31
    0.0565      3.95
    0.0666      4.56
    0.0766      5.16
    0.0866      5.74
    0.0967      6.30
    0.1067      6.84
    0.1168      7.35
    0.1268      7.85
    0.1368      8.32
    0.1469      8.78
    0.1569      9.21
    0.1669      9.64
    0.1770     10.04
    0.1870     10.44
    0.1971     10.82
    0.2071     11.20
    0.2171     11.56
    0.2272     11.93
    0.2372     12.28
    0.2472     12.63
    0.2573     12.98
    0.2673     13.32
    0.2773     13.66
    0.2874     14.00
    0.2974     14.33
    0.3075     14.67
    0.3175     15.00
    0.3275     15.33
    0.3376     15.66
    0.3476     15.98
    0.3576     16.31
    0.3677     16.63
    0.3777     16.96
    0.3878     17.29
    0.3978     17.61
    0.4078     17.94
    0.4179     18.26
    0.4279     18.59
    0.4379     18.92
    0.4480     19.25
    0.4580     19.58
    0.4680     19.91
    0.4781     20.25
    0.4881     20.58
    0.4982     20.92
    0.5082     21.26
    0.5182     21.60
    0.5283     21.95
    0.5383     22.30
    0.5483     22.65
    0.5584     23.00
    0.5684     23.35
    0.5785     23.70
    0.5885     24.05
    0.5985     24.41
    0.6086     24.76
    0.6186     25.12
    0.6286     25.48
    0.6387     25.84
    0.6487     26.20
    0.6587     26.56
    0.6688     26.92
    0.6788     27.29
    0.6889     27.66
    0.6989     28.03
    0.7089     28.40
    0.7190     28.78
    0.7290     29.17
    0.7390     29.56
    0.7491     29.96
    0.7591     30.36
    0.7692     30.78
    0.7792     31.20
    0.7892     31.63
    0.7993     32.07
    0.8093     32.52
    0.8193     32.98
    0.8294     33.45
    0.8394     33.93
    0.8494     34.43
    0.8595     34.94
    0.8695     35.47
    0.8796     36.01
    0.8896     36.57
    0.8996     37.17
    0.9097     37.79
    0.9197     38.45
    0.9297     39.17
    0.9398     39.95
    0.9498     40.84
    0.9599     41.86
    0.9699     43.09
    0.9799     44.69
    0.9900     47.16
    1.0000     58.56
