#      CDF      prot
#             (days)
    0.0036      0.23
    0.0136      1.65
    0.0237      2.79
    0.0338      3.71
    0.0438      4.42
    0.0539      5.01
    0.0640      5.52
    0.0740      5.98
    0.0841      6.40
    0.0942      6.80
    0.1042      7.18
    0.1143      7.54
    0.1244      7.89
    0.1344      8.23
    0.1445      8.56
    0.1546      8.88
    0.1646      9.20
    0.1747      9.51
    0.1847      9.81
    0.1948     10.11
    0.2049     10.40
    0.2149     10.69
    0.2250     10.98
    0.2351     11.27
    0.2451     11.55
    0.2552     11.83
    0.2653     12.11
    0.2753     12.39
    0.2854     12.68
    0.2955     12.96
    0.3055     13.23
    0.3156     13.51
    0.3257     13.79
    0.3357     14.06
    0.3458     14.34
    0.3558     14.61
    0.3659     14.87
    0.3760     15.14
    0.3860     15.40
    0.3961     15.66
    0.4062     15.91
    0.4162     16.16
    0.4263     16.40
    0.4364     16.65
    0.4464     16.88
    0.4565     17.12
    0.4666     17.35
    0.4766     17.58
    0.4867     17.80
    0.4968     18.03
    0.5068     18.25
    0.5169     18.46
    0.5270     18.68
    0.5370     18.89
    0.5471     19.11
    0.5571     19.32
    0.5672     19.53
    0.5773     19.74
    0.5873     19.95
    0.5974     20.16
    0.6075     20.37
    0.6175     20.58
    0.6276     20.79
    0.6377     21.00
    0.6477     21.21
    0.6578     21.42
    0.6679     21.63
    0.6779     21.84
    0.6880     22.05
    0.6981     22.26
    0.7081     22.48
    0.7182     22.69
    0.7282     22.90
    0.7383     23.12
    0.7484     23.34
    0.7584     23.56
    0.7685     23.78
    0.7786     24.00
    0.7886     24.23
    0.7987     24.46
    0.8088     24.70
    0.8188     24.94
    0.8289     25.19
    0.8390     25.45
    0.8490     25.71
    0.8591     25.98
    0.8692     26.26
    0.8792     26.56
    0.8893     26.87
    0.8994     27.19
    0.9094     27.54
    0.9195     27.92
    0.9295     28.32
    0.9396     28.78
    0.9497     29.30
    0.9597     29.93
    0.9698     30.73
    0.9799     31.94
    0.9899     35.51
    1.0000     66.50
