#      CDF      prot
#             (days)
    0.0027      0.24
    0.0128      1.86
    0.0228      3.27
    0.0329      4.58
    0.0430      5.75
    0.0531      6.76
    0.0631      7.59
    0.0732      8.29
    0.0833      8.88
    0.0934      9.39
    0.1034      9.85
    0.1135     10.27
    0.1236     10.65
    0.1337     11.00
    0.1437     11.34
    0.1538     11.66
    0.1639     11.96
    0.1740     12.26
    0.1840     12.54
    0.1941     12.82
    0.2042     13.09
    0.2142     13.35
    0.2243     13.62
    0.2344     13.87
    0.2445     14.13
    0.2545     14.39
    0.2646     14.64
    0.2747     14.90
    0.2848     15.16
    0.2948     15.41
    0.3049     15.67
    0.3150     15.93
    0.3251     16.19
    0.3351     16.46
    0.3452     16.73
    0.3553     17.00
    0.3654     17.28
    0.3754     17.56
    0.3855     17.84
    0.3956     18.13
    0.4056     18.42
    0.4157     18.72
    0.4258     19.02
    0.4359     19.32
    0.4459     19.63
    0.4560     19.95
    0.4661     20.27
    0.4762     20.59
    0.4862     20.91
    0.4963     21.24
    0.5064     21.57
    0.5165     21.90
    0.5265     22.24
    0.5366     22.58
    0.5467     22.91
    0.5568     23.25
    0.5668     23.60
    0.5769     23.94
    0.5870     24.28
    0.5970     24.62
    0.6071     24.97
    0.6172     25.32
    0.6273     25.67
    0.6373     26.02
    0.6474     26.37
    0.6575     26.73
    0.6676     27.09
    0.6776     27.46
    0.6877     27.83
    0.6978     28.20
    0.7079     28.58
    0.7179     28.97
    0.7280     29.36
    0.7381     29.76
    0.7482     30.16
    0.7582     30.57
    0.7683     30.98
    0.7784     31.39
    0.7885     31.81
    0.7985     32.24
    0.8086     32.67
    0.8187     33.10
    0.8287     33.54
    0.8388     33.98
    0.8489     34.44
    0.8590     34.90
    0.8690     35.38
    0.8791     35.86
    0.8892     36.37
    0.8993     36.90
    0.9093     37.46
    0.9194     38.05
    0.9295     38.68
    0.9396     39.37
    0.9496     40.12
    0.9597     40.97
    0.9698     41.94
    0.9799     43.15
    0.9899     44.87
    1.0000     50.48
