#      CDF      prot
#             (days)
    0.0151      0.40
    0.0251      0.63
    0.0350      0.84
    0.0450      1.05
    0.0549      1.25
    0.0649      1.44
    0.0748      1.62
    0.0848      1.80
    0.0947      1.97
    0.1046      2.14
    0.1146      2.31
    0.1245      2.47
    0.1345      2.63
    0.1444      2.79
    0.1544      2.94
    0.1643      3.10
    0.1743      3.25
    0.1842      3.40
    0.1942      3.55
    0.2041      3.70
    0.2141      3.85
    0.2240      4.00
    0.2340      4.14
    0.2439      4.29
    0.2539      4.44
    0.2638      4.59
    0.2738      4.74
    0.2837      4.89
    0.2937      5.04
    0.3036      5.20
    0.3136      5.35
    0.3235      5.51
    0.3335      5.66
    0.3434      5.82
    0.3534      5.98
    0.3633      6.14
    0.3733      6.31
    0.3832      6.48
    0.3932      6.65
    0.4031      6.82
    0.4130      6.99
    0.4230      7.17
    0.4329      7.35
    0.4429      7.54
    0.4528      7.73
    0.4628      7.92
    0.4727      8.12
    0.4827      8.33
    0.4926      8.53
    0.5026      8.74
    0.5125      8.96
    0.5225      9.18
    0.5324      9.40
    0.5424      9.63
    0.5523      9.87
    0.5623     10.11
    0.5722     10.35
    0.5822     10.59
    0.5921     10.84
    0.6021     11.09
    0.6120     11.35
    0.6220     11.60
    0.6319     11.86
    0.6419     12.12
    0.6518     12.38
    0.6618     12.64
    0.6717     12.90
    0.6817     13.17
    0.6916     13.44
    0.7015     13.71
    0.7115     13.98
    0.7214     14.25
    0.7314     14.53
    0.7413     14.81
    0.7513     15.09
    0.7612     15.38
    0.7712     15.68
    0.7811     15.98
    0.7911     16.29
    0.8010     16.60
    0.8110     16.92
    0.8209     17.25
    0.8309     17.60
    0.8408     17.95
    0.8508     18.32
    0.8607     18.70
    0.8707     19.10
    0.8806     19.52
    0.8906     19.96
    0.9005     20.44
    0.9105     20.96
    0.9204     21.53
    0.9304     22.17
    0.9403     22.89
    0.9503     23.73
    0.9602     24.73
    0.9702     25.98
    0.9801     27.66
    0.9901     30.46
    1.0000     37.97
