#      CDF      prot
#             (days)
    0.0249      0.21
    0.0347      0.42
    0.0446      0.62
    0.0544      0.80
    0.0643      0.98
    0.0741      1.14
    0.0840      1.29
    0.0938      1.44
    0.1037      1.59
    0.1135      1.73
    0.1234      1.86
    0.1332      2.00
    0.1431      2.13
    0.1529      2.26
    0.1628      2.39
    0.1726      2.52
    0.1825      2.65
    0.1923      2.78
    0.2022      2.91
    0.2120      3.04
    0.2219      3.16
    0.2317      3.29
    0.2416      3.42
    0.2514      3.55
    0.2613      3.68
    0.2711      3.81
    0.2810      3.95
    0.2908      4.08
    0.3007      4.22
    0.3105      4.35
    0.3204      4.49
    0.3302      4.63
    0.3401      4.76
    0.3499      4.90
    0.3598      5.04
    0.3696      5.19
    0.3795      5.33
    0.3893      5.47
    0.3992      5.62
    0.4090      5.76
    0.4189      5.91
    0.4287      6.05
    0.4386      6.20
    0.4484      6.35
    0.4583      6.49
    0.4681      6.64
    0.4780      6.79
    0.4878      6.94
    0.4977      7.09
    0.5075      7.23
    0.5174      7.38
    0.5272      7.53
    0.5371      7.68
    0.5469      7.83
    0.5568      7.98
    0.5666      8.13
    0.5765      8.27
    0.5863      8.42
    0.5962      8.57
    0.6060      8.73
    0.6159      8.88
    0.6257      9.03
    0.6356      9.19
    0.6454      9.34
    0.6553      9.50
    0.6651      9.66
    0.6750      9.83
    0.6848      9.99
    0.6947     10.16
    0.7045     10.33
    0.7144     10.51
    0.7242     10.69
    0.7341     10.88
    0.7439     11.07
    0.7538     11.27
    0.7636     11.48
    0.7735     11.70
    0.7833     11.92
    0.7932     12.16
    0.8030     12.41
    0.8129     12.67
    0.8227     12.95
    0.8326     13.24
    0.8424     13.55
    0.8523     13.89
    0.8621     14.25
    0.8720     14.64
    0.8818     15.07
    0.8917     15.54
    0.9015     16.06
    0.9114     16.65
    0.9212     17.31
    0.9311     18.06
    0.9409     18.91
    0.9508     19.88
    0.9606     21.02
    0.9705     22.36
    0.9803     24.06
    0.9902     27.67
    1.0000     69.97
