#      CDF      prot
#             (days)
    0.0068      0.20
    0.0169      0.83
    0.0269      1.34
    0.0369      1.78
    0.0470      2.17
    0.0570      2.52
    0.0670      2.85
    0.0771      3.16
    0.0871      3.45
    0.0971      3.72
    0.1072      3.98
    0.1172      4.23
    0.1272      4.46
    0.1373      4.69
    0.1473      4.91
    0.1573      5.13
    0.1674      5.34
    0.1774      5.54
    0.1874      5.74
    0.1975      5.94
    0.2075      6.14
    0.2175      6.33
    0.2275      6.53
    0.2376      6.72
    0.2476      6.91
    0.2576      7.10
    0.2677      7.29
    0.2777      7.48
    0.2877      7.67
    0.2978      7.85
    0.3078      8.04
    0.3178      8.23
    0.3279      8.41
    0.3379      8.60
    0.3479      8.79
    0.3580      8.97
    0.3680      9.15
    0.3780      9.33
    0.3881      9.51
    0.3981      9.69
    0.4081      9.87
    0.4182     10.04
    0.4282     10.21
    0.4382     10.39
    0.4482     10.56
    0.4583     10.73
    0.4683     10.89
    0.4783     11.06
    0.4884     11.23
    0.4984     11.39
    0.5084     11.56
    0.5185     11.72
    0.5285     11.88
    0.5385     12.05
    0.5486     12.21
    0.5586     12.38
    0.5686     12.54
    0.5787     12.71
    0.5887     12.87
    0.5987     13.04
    0.6088     13.21
    0.6188     13.37
    0.6288     13.54
    0.6389     13.71
    0.6489     13.89
    0.6589     14.06
    0.6689     14.23
    0.6790     14.41
    0.6890     14.59
    0.6990     14.77
    0.7091     14.95
    0.7191     15.14
    0.7291     15.33
    0.7392     15.52
    0.7492     15.71
    0.7592     15.90
    0.7693     16.10
    0.7793     16.30
    0.7893     16.50
    0.7994     16.71
    0.8094     16.92
    0.8194     17.13
    0.8295     17.35
    0.8395     17.58
    0.8495     17.81
    0.8596     18.04
    0.8696     18.29
    0.8796     18.55
    0.8896     18.82
    0.8997     19.11
    0.9097     19.42
    0.9197     19.75
    0.9298     20.12
    0.9398     20.53
    0.9498     21.01
    0.9599     21.59
    0.9699     22.35
    0.9799     23.54
    0.9900     26.03
    1.0000     57.87
