#      CDF      prot
#             (days)
    0.0022      0.22
    0.0122      1.23
    0.0223      2.05
    0.0324      2.74
    0.0425      3.34
    0.0526      3.88
    0.0626      4.36
    0.0727      4.80
    0.0828      5.21
    0.0929      5.59
    0.1029      5.95
    0.1130      6.29
    0.1231      6.62
    0.1332      6.93
    0.1433      7.24
    0.1533      7.53
    0.1634      7.82
    0.1735      8.10
    0.1836      8.37
    0.1937      8.64
    0.2037      8.90
    0.2138      9.16
    0.2239      9.41
    0.2340      9.66
    0.2441      9.91
    0.2541     10.16
    0.2642     10.40
    0.2743     10.64
    0.2844     10.88
    0.2945     11.11
    0.3045     11.34
    0.3146     11.57
    0.3247     11.79
    0.3348     12.02
    0.3448     12.24
    0.3549     12.46
    0.3650     12.67
    0.3751     12.88
    0.3852     13.09
    0.3952     13.30
    0.4053     13.50
    0.4154     13.70
    0.4255     13.90
    0.4356     14.09
    0.4456     14.29
    0.4557     14.48
    0.4658     14.66
    0.4759     14.85
    0.4860     15.03
    0.4960     15.21
    0.5061     15.39
    0.5162     15.57
    0.5263     15.75
    0.5364     15.93
    0.5464     16.10
    0.5565     16.27
    0.5666     16.44
    0.5767     16.62
    0.5868     16.79
    0.5968     16.96
    0.6069     17.13
    0.6170     17.30
    0.6271     17.47
    0.6371     17.63
    0.6472     17.80
    0.6573     17.97
    0.6674     18.14
    0.6775     18.31
    0.6875     18.48
    0.6976     18.65
    0.7077     18.82
    0.7178     19.00
    0.7279     19.17
    0.7379     19.34
    0.7480     19.52
    0.7581     19.70
    0.7682     19.87
    0.7783     20.05
    0.7883     20.24
    0.7984     20.42
    0.8085     20.61
    0.8186     20.79
    0.8287     20.99
    0.8387     21.18
    0.8488     21.38
    0.8589     21.58
    0.8690     21.79
    0.8790     22.00
    0.8891     22.22
    0.8992     22.44
    0.9093     22.68
    0.9194     22.92
    0.9294     23.18
    0.9395     23.45
    0.9496     23.74
    0.9597     24.05
    0.9698     24.39
    0.9798     24.78
    0.9899     25.21
    1.0000     25.74
