#      CDF      prot
#             (days)
    0.0059      0.34
    0.0159      1.06
    0.0260      1.73
    0.0360      2.38
    0.0461      3.00
    0.0561      3.61
    0.0661      4.20
    0.0762      4.78
    0.0862      5.35
    0.0963      5.91
    0.1063      6.47
    0.1164      7.02
    0.1264      7.56
    0.1364      8.10
    0.1465      8.64
    0.1565      9.16
    0.1666      9.68
    0.1766     10.19
    0.1866     10.69
    0.1967     11.19
    0.2067     11.68
    0.2168     12.16
    0.2268     12.63
    0.2369     13.10
    0.2469     13.56
    0.2569     14.01
    0.2670     14.46
    0.2770     14.90
    0.2871     15.34
    0.2971     15.78
    0.3071     16.21
    0.3172     16.64
    0.3272     17.07
    0.3373     17.50
    0.3473     17.92
    0.3573     18.35
    0.3674     18.77
    0.3774     19.19
    0.3875     19.61
    0.3975     20.03
    0.4076     20.45
    0.4176     20.87
    0.4276     21.28
    0.4377     21.69
    0.4477     22.10
    0.4578     22.51
    0.4678     22.91
    0.4778     23.31
    0.4879     23.70
    0.4979     24.10
    0.5080     24.48
    0.5180     24.87
    0.5281     25.25
    0.5381     25.62
    0.5481     26.00
    0.5582     26.37
    0.5682     26.73
    0.5783     27.10
    0.5883     27.46
    0.5983     27.81
    0.6084     28.17
    0.6184     28.52
    0.6285     28.88
    0.6385     29.23
    0.6486     29.58
    0.6586     29.93
    0.6686     30.28
    0.6787     30.63
    0.6887     30.98
    0.6988     31.33
    0.7088     31.68
    0.7188     32.03
    0.7289     32.38
    0.7389     32.74
    0.7490     33.09
    0.7590     33.45
    0.7690     33.81
    0.7791     34.18
    0.7891     34.54
    0.7992     34.91
    0.8092     35.29
    0.8193     35.66
    0.8293     36.05
    0.8393     36.43
    0.8494     36.82
    0.8594     37.22
    0.8695     37.63
    0.8795     38.04
    0.8895     38.47
    0.8996     38.90
    0.9096     39.35
    0.9197     39.82
    0.9297     40.30
    0.9398     40.80
    0.9498     41.33
    0.9598     41.89
    0.9699     42.49
    0.9799     43.14
    0.9900     43.85
    1.0000     44.66
