#      CDF      prot
#             (days)
    0.0038      0.23
    0.0139      1.71
    0.0239      3.01
    0.0340      4.19
    0.0441      5.18
    0.0541      5.97
    0.0642      6.63
    0.0742      7.19
    0.0843      7.68
    0.0944      8.13
    0.1044      8.54
    0.1145      8.93
    0.1246      9.30
    0.1346      9.66
    0.1447     10.00
    0.1547     10.34
    0.1648     10.67
    0.1749     11.00
    0.1849     11.32
    0.1950     11.64
    0.2051     11.96
    0.2151     12.28
    0.2252     12.60
    0.2352     12.92
    0.2453     13.24
    0.2554     13.56
    0.2654     13.88
    0.2755     14.20
    0.2856     14.52
    0.2956     14.85
    0.3057     15.18
    0.3157     15.51
    0.3258     15.84
    0.3359     16.17
    0.3459     16.51
    0.3560     16.84
    0.3661     17.18
    0.3761     17.52
    0.3862     17.86
    0.3962     18.20
    0.4063     18.53
    0.4164     18.87
    0.4264     19.20
    0.4365     19.52
    0.4466     19.85
    0.4566     20.17
    0.4667     20.48
    0.4767     20.80
    0.4868     21.10
    0.4969     21.41
    0.5069     21.71
    0.5170     22.00
    0.5271     22.30
    0.5371     22.59
    0.5472     22.88
    0.5572     23.16
    0.5673     23.45
    0.5774     23.73
    0.5874     24.01
    0.5975     24.29
    0.6076     24.57
    0.6176     24.85
    0.6277     25.12
    0.6377     25.40
    0.6478     25.68
    0.6579     25.96
    0.6679     26.25
    0.6780     26.53
    0.6881     26.81
    0.6981     27.10
    0.7082     27.39
    0.7182     27.68
    0.7283     27.98
    0.7384     28.28
    0.7484     28.58
    0.7585     28.89
    0.7686     29.20
    0.7786     29.51
    0.7887     29.83
    0.7987     30.15
    0.8088     30.48
    0.8189     30.82
    0.8289     31.16
    0.8390     31.51
    0.8491     31.87
    0.8591     32.24
    0.8692     32.63
    0.8792     33.03
    0.8893     33.46
    0.8994     33.91
    0.9094     34.40
    0.9195     34.92
    0.9296     35.50
    0.9396     36.15
    0.9497     36.88
    0.9597     37.74
    0.9698     38.78
    0.9799     40.19
    0.9899     42.70
    1.0000     67.61
