#      CDF      prot
#             (days)
    0.0027      0.21
    0.0127      2.03
    0.0228      3.90
    0.0329      6.10
    0.0430      7.80
    0.0530      8.85
    0.0631      9.59
    0.0732     10.17
    0.0833     10.67
    0.0933     11.10
    0.1034     11.48
    0.1135     11.84
    0.1236     12.18
    0.1336     12.49
    0.1437     12.80
    0.1538     13.09
    0.1639     13.38
    0.1739     13.66
    0.1840     13.93
    0.1941     14.21
    0.2041     14.48
    0.2142     14.75
    0.2243     15.02
    0.2344     15.30
    0.2444     15.58
    0.2545     15.86
    0.2646     16.15
    0.2747     16.44
    0.2847     16.73
    0.2948     17.04
    0.3049     17.35
    0.3150     17.66
    0.3250     17.98
    0.3351     18.31
    0.3452     18.64
    0.3553     18.97
    0.3653     19.31
    0.3754     19.65
    0.3855     19.98
    0.3956     20.32
    0.4056     20.67
    0.4157     21.01
    0.4258     21.35
    0.4359     21.69
    0.4459     22.03
    0.4560     22.37
    0.4661     22.72
    0.4761     23.06
    0.4862     23.41
    0.4963     23.76
    0.5064     24.10
    0.5164     24.45
    0.5265     24.80
    0.5366     25.15
    0.5467     25.50
    0.5567     25.85
    0.5668     26.20
    0.5769     26.55
    0.5870     26.90
    0.5970     27.25
    0.6071     27.60
    0.6172     27.95
    0.6273     28.29
    0.6373     28.64
    0.6474     28.98
    0.6575     29.33
    0.6676     29.67
    0.6776     30.01
    0.6877     30.35
    0.6978     30.70
    0.7079     31.04
    0.7179     31.39
    0.7280     31.74
    0.7381     32.09
    0.7481     32.44
    0.7582     32.79
    0.7683     33.16
    0.7784     33.52
    0.7884     33.89
    0.7985     34.27
    0.8086     34.66
    0.8187     35.05
    0.8287     35.45
    0.8388     35.86
    0.8489     36.29
    0.8590     36.72
    0.8690     37.17
    0.8791     37.64
    0.8892     38.12
    0.8993     38.62
    0.9093     39.14
    0.9194     39.69
    0.9295     40.28
    0.9396     40.91
    0.9496     41.60
    0.9597     42.38
    0.9698     43.30
    0.9799     44.47
    0.9899     46.26
    1.0000     55.57
