#      CDF      prot
#             (days)
    0.0114      0.20
    0.0214      0.62
    0.0314      1.00
    0.0413      1.35
    0.0513      1.69
    0.0613      2.00
    0.0713      2.30
    0.0813      2.59
    0.0913      2.87
    0.1013      3.14
    0.1113      3.40
    0.1212      3.65
    0.1312      3.90
    0.1412      4.14
    0.1512      4.38
    0.1612      4.61
    0.1712      4.84
    0.1812      5.07
    0.1911      5.30
    0.2011      5.52
    0.2111      5.74
    0.2211      5.96
    0.2311      6.18
    0.2411      6.40
    0.2511      6.61
    0.2610      6.83
    0.2710      7.05
    0.2810      7.26
    0.2910      7.48
    0.3010      7.69
    0.3110      7.91
    0.3210      8.12
    0.3309      8.34
    0.3409      8.56
    0.3509      8.78
    0.3609      9.00
    0.3709      9.22
    0.3809      9.44
    0.3909      9.66
    0.4008      9.89
    0.4108     10.12
    0.4208     10.35
    0.4308     10.58
    0.4408     10.81
    0.4508     11.04
    0.4608     11.28
    0.4707     11.52
    0.4807     11.76
    0.4907     12.00
    0.5007     12.25
    0.5107     12.50
    0.5207     12.75
    0.5307     13.00
    0.5406     13.26
    0.5506     13.52
    0.5606     13.78
    0.5706     14.05
    0.5806     14.32
    0.5906     14.59
    0.6006     14.87
    0.6105     15.16
    0.6205     15.44
    0.6305     15.74
    0.6405     16.03
    0.6505     16.34
    0.6605     16.65
    0.6705     16.96
    0.6804     17.29
    0.6904     17.62
    0.7004     17.96
    0.7104     18.31
    0.7204     18.67
    0.7304     19.03
    0.7404     19.42
    0.7504     19.81
    0.7603     20.22
    0.7703     20.64
    0.7803     21.07
    0.7903     21.52
    0.8003     21.99
    0.8103     22.48
    0.8203     22.99
    0.8302     23.52
    0.8402     24.08
    0.8502     24.67
    0.8602     25.28
    0.8702     25.93
    0.8802     26.62
    0.8902     27.35
    0.9001     28.12
    0.9101     28.93
    0.9201     29.79
    0.9301     30.70
    0.9401     31.67
    0.9501     32.73
    0.9601     33.94
    0.9700     35.40
    0.9800     37.46
    0.9900     42.45
    1.0000     52.75
