#      CDF      prot
#             (days)
    0.0027      0.23
    0.0128      1.93
    0.0228      3.49
    0.0329      5.00
    0.0430      6.29
    0.0531      7.29
    0.0631      8.08
    0.0732      8.75
    0.0833      9.33
    0.0934      9.85
    0.1034     10.33
    0.1135     10.78
    0.1236     11.21
    0.1337     11.63
    0.1437     12.03
    0.1538     12.43
    0.1639     12.82
    0.1740     13.21
    0.1840     13.59
    0.1941     13.97
    0.2042     14.35
    0.2142     14.72
    0.2243     15.09
    0.2344     15.46
    0.2445     15.83
    0.2545     16.18
    0.2646     16.54
    0.2747     16.89
    0.2848     17.24
    0.2948     17.58
    0.3049     17.92
    0.3150     18.25
    0.3251     18.59
    0.3351     18.91
    0.3452     19.24
    0.3553     19.56
    0.3654     19.88
    0.3754     20.20
    0.3855     20.51
    0.3956     20.83
    0.4057     21.14
    0.4157     21.45
    0.4258     21.75
    0.4359     22.05
    0.4459     22.36
    0.4560     22.65
    0.4661     22.95
    0.4762     23.25
    0.4862     23.54
    0.4963     23.83
    0.5064     24.12
    0.5165     24.40
    0.5265     24.68
    0.5366     24.97
    0.5467     25.25
    0.5568     25.53
    0.5668     25.80
    0.5769     26.08
    0.5870     26.35
    0.5971     26.62
    0.6071     26.89
    0.6172     27.16
    0.6273     27.43
    0.6373     27.70
    0.6474     27.97
    0.6575     28.24
    0.6676     28.51
    0.6776     28.78
    0.6877     29.04
    0.6978     29.32
    0.7079     29.59
    0.7179     29.86
    0.7280     30.14
    0.7381     30.42
    0.7482     30.70
    0.7582     30.99
    0.7683     31.28
    0.7784     31.57
    0.7885     31.87
    0.7985     32.18
    0.8086     32.50
    0.8187     32.82
    0.8287     33.15
    0.8388     33.49
    0.8489     33.85
    0.8590     34.22
    0.8690     34.60
    0.8791     35.00
    0.8892     35.42
    0.8993     35.87
    0.9093     36.35
    0.9194     36.87
    0.9295     37.43
    0.9396     38.05
    0.9496     38.76
    0.9597     39.57
    0.9698     40.55
    0.9799     41.81
    0.9899     43.74
    1.0000     53.51
