#      CDF      prot
#             (days)
    0.0106      0.37
    0.0206      0.64
    0.0306      0.89
    0.0406      1.13
    0.0506      1.35
    0.0606      1.55
    0.0706      1.75
    0.0806      1.94
    0.0906      2.12
    0.1006      2.30
    0.1106      2.47
    0.1206      2.64
    0.1306      2.80
    0.1406      2.97
    0.1506      3.12
    0.1606      3.28
    0.1705      3.43
    0.1805      3.58
    0.1905      3.74
    0.2005      3.88
    0.2105      4.03
    0.2205      4.18
    0.2305      4.32
    0.2405      4.47
    0.2505      4.61
    0.2605      4.76
    0.2705      4.90
    0.2805      5.04
    0.2905      5.18
    0.3005      5.32
    0.3105      5.46
    0.3204      5.60
    0.3304      5.74
    0.3404      5.88
    0.3504      6.02
    0.3604      6.16
    0.3704      6.30
    0.3804      6.44
    0.3904      6.58
    0.4004      6.71
    0.4104      6.85
    0.4204      6.99
    0.4304      7.12
    0.4404      7.26
    0.4504      7.39
    0.4604      7.53
    0.4703      7.66
    0.4803      7.80
    0.4903      7.93
    0.5003      8.07
    0.5103      8.20
    0.5203      8.33
    0.5303      8.47
    0.5403      8.60
    0.5503      8.74
    0.5603      8.87
    0.5703      9.01
    0.5803      9.15
    0.5903      9.28
    0.6003      9.42
    0.6103      9.56
    0.6202      9.70
    0.6302      9.84
    0.6402      9.99
    0.6502     10.13
    0.6602     10.28
    0.6702     10.43
    0.6802     10.58
    0.6902     10.74
    0.7002     10.90
    0.7102     11.06
    0.7202     11.23
    0.7302     11.40
    0.7402     11.58
    0.7502     11.76
    0.7602     11.95
    0.7702     12.15
    0.7801     12.36
    0.7901     12.59
    0.8001     12.82
    0.8101     13.07
    0.8201     13.34
    0.8301     13.64
    0.8401     13.96
    0.8501     14.32
    0.8601     14.73
    0.8701     15.19
    0.8801     15.73
    0.8901     16.36
    0.9001     17.10
    0.9101     17.93
    0.9201     18.79
    0.9300     19.63
    0.9400     20.43
    0.9500     21.22
    0.9600     22.02
    0.9700     22.90
    0.9800     23.97
    0.9900     25.58
    1.0000     33.16
