#      CDF      prot
#             (days)
    0.0018      0.66
    0.0119      2.53
    0.0220      4.11
    0.0321      5.47
    0.0421      6.66
    0.0522      7.69
    0.0623      8.58
    0.0724      9.37
    0.0825     10.07
    0.0926     10.70
    0.1026     11.29
    0.1127     11.83
    0.1228     12.34
    0.1329     12.82
    0.1430     13.28
    0.1531     13.72
    0.1631     14.14
    0.1732     14.55
    0.1833     14.95
    0.1934     15.34
    0.2035     15.72
    0.2136     16.10
    0.2236     16.46
    0.2337     16.82
    0.2438     17.18
    0.2539     17.53
    0.2640     17.87
    0.2740     18.21
    0.2841     18.54
    0.2942     18.87
    0.3043     19.20
    0.3144     19.52
    0.3245     19.83
    0.3345     20.14
    0.3446     20.44
    0.3547     20.75
    0.3648     21.04
    0.3749     21.33
    0.3850     21.62
    0.3950     21.91
    0.4051     22.19
    0.4152     22.46
    0.4253     22.73
    0.4354     23.00
    0.4455     23.27
    0.4555     23.53
    0.4656     23.79
    0.4757     24.05
    0.4858     24.31
    0.4959     24.56
    0.5059     24.81
    0.5160     25.06
    0.5261     25.31
    0.5362     25.56
    0.5463     25.80
    0.5564     26.05
    0.5664     26.29
    0.5765     26.53
    0.5866     26.78
    0.5967     27.02
    0.6068     27.26
    0.6169     27.50
    0.6269     27.74
    0.6370     27.98
    0.6471     28.22
    0.6572     28.47
    0.6673     28.71
    0.6774     28.95
    0.6874     29.19
    0.6975     29.44
    0.7076     29.68
    0.7177     29.93
    0.7278     30.18
    0.7379     30.43
    0.7479     30.68
    0.7580     30.93
    0.7681     31.19
    0.7782     31.45
    0.7883     31.71
    0.7983     31.97
    0.8084     32.24
    0.8185     32.51
    0.8286     32.79
    0.8387     33.07
    0.8488     33.35
    0.8588     33.64
    0.8689     33.94
    0.8790     34.25
    0.8891     34.56
    0.8992     34.88
    0.9093     35.21
    0.9193     35.56
    0.9294     35.92
    0.9395     36.29
    0.9496     36.69
    0.9597     37.11
    0.9698     37.55
    0.9798     38.03
    0.9899     38.56
    1.0000     39.15
