#      CDF      prot
#             (days)
    0.0043      0.26
    0.0143      1.28
    0.0244      2.15
    0.0345      2.90
    0.0445      3.59
    0.0546      4.21
    0.0646      4.78
    0.0747      5.31
    0.0847      5.80
    0.0948      6.26
    0.1049      6.70
    0.1149      7.11
    0.1250      7.50
    0.1350      7.88
    0.1451      8.24
    0.1552      8.59
    0.1652      8.94
    0.1753      9.27
    0.1853      9.60
    0.1954      9.92
    0.2054     10.23
    0.2155     10.55
    0.2256     10.85
    0.2356     11.16
    0.2457     11.47
    0.2557     11.77
    0.2658     12.08
    0.2758     12.38
    0.2859     12.69
    0.2960     12.99
    0.3060     13.30
    0.3161     13.61
    0.3261     13.92
    0.3362     14.23
    0.3462     14.55
    0.3563     14.87
    0.3664     15.19
    0.3764     15.51
    0.3865     15.83
    0.3965     16.16
    0.4066     16.49
    0.4167     16.82
    0.4267     17.15
    0.4368     17.48
    0.4468     17.82
    0.4569     18.15
    0.4669     18.48
    0.4770     18.80
    0.4871     19.13
    0.4971     19.45
    0.5072     19.78
    0.5172     20.10
    0.5273     20.42
    0.5373     20.73
    0.5474     21.05
    0.5575     21.36
    0.5675     21.67
    0.5776     21.97
    0.5876     22.28
    0.5977     22.58
    0.6077     22.88
    0.6178     23.18
    0.6279     23.48
    0.6379     23.77
    0.6480     24.07
    0.6580     24.36
    0.6681     24.65
    0.6782     24.93
    0.6882     25.22
    0.6983     25.50
    0.7083     25.79
    0.7184     26.07
    0.7284     26.35
    0.7385     26.63
    0.7486     26.91
    0.7586     27.19
    0.7687     27.47
    0.7787     27.75
    0.7888     28.03
    0.7988     28.32
    0.8089     28.61
    0.8190     28.90
    0.8290     29.19
    0.8391     29.49
    0.8491     29.80
    0.8592     30.11
    0.8692     30.43
    0.8793     30.77
    0.8894     31.11
    0.8994     31.48
    0.9095     31.86
    0.9195     32.27
    0.9296     32.71
    0.9397     33.20
    0.9497     33.76
    0.9598     34.42
    0.9698     35.24
    0.9799     36.43
    0.9899     39.27
    1.0000     51.87
