#      CDF      prot
#             (days)
    0.0383      0.35
    0.0480      0.49
    0.0577      0.62
    0.0674      0.75
    0.0771      0.88
    0.0868      1.01
    0.0966      1.13
    0.1063      1.24
    0.1160      1.36
    0.1257      1.47
    0.1354      1.58
    0.1451      1.69
    0.1548      1.80
    0.1646      1.91
    0.1743      2.01
    0.1840      2.11
    0.1937      2.22
    0.2034      2.32
    0.2131      2.42
    0.2228      2.52
    0.2326      2.61
    0.2423      2.71
    0.2520      2.81
    0.2617      2.91
    0.2714      3.00
    0.2811      3.10
    0.2908      3.19
    0.3006      3.29
    0.3103      3.38
    0.3200      3.48
    0.3297      3.57
    0.3394      3.67
    0.3491      3.76
    0.3588      3.85
    0.3686      3.95
    0.3783      4.04
    0.3880      4.14
    0.3977      4.23
    0.4074      4.33
    0.4171      4.43
    0.4268      4.52
    0.4366      4.62
    0.4463      4.72
    0.4560      4.82
    0.4657      4.92
    0.4754      5.02
    0.4851      5.12
    0.4948      5.22
    0.5046      5.32
    0.5143      5.43
    0.5240      5.54
    0.5337      5.64
    0.5434      5.75
    0.5531      5.86
    0.5628      5.98
    0.5726      6.09
    0.5823      6.21
    0.5920      6.32
    0.6017      6.45
    0.6114      6.57
    0.6211      6.70
    0.6309      6.83
    0.6406      6.96
    0.6503      7.10
    0.6600      7.24
    0.6697      7.38
    0.6794      7.53
    0.6891      7.68
    0.6989      7.84
    0.7086      8.01
    0.7183      8.18
    0.7280      8.36
    0.7377      8.55
    0.7474      8.75
    0.7571      8.96
    0.7669      9.18
    0.7766      9.41
    0.7863      9.65
    0.7960      9.91
    0.8057     10.19
    0.8154     10.49
    0.8251     10.80
    0.8349     11.15
    0.8446     11.52
    0.8543     11.92
    0.8640     12.35
    0.8737     12.82
    0.8834     13.33
    0.8931     13.89
    0.9029     14.51
    0.9126     15.18
    0.9223     15.92
    0.9320     16.74
    0.9417     17.65
    0.9514     18.71
    0.9611     20.05
    0.9709     22.42
    0.9806     34.12
    0.9903     39.86
    1.0000     60.97
