#      CDF      prot
#             (days)
    0.0162      0.33
    0.0262      0.53
    0.0361      0.71
    0.0460      0.88
    0.0560      1.04
    0.0659      1.20
    0.0758      1.34
    0.0858      1.48
    0.0957      1.61
    0.1057      1.74
    0.1156      1.87
    0.1255      1.99
    0.1355      2.11
    0.1454      2.22
    0.1553      2.34
    0.1653      2.45
    0.1752      2.56
    0.1852      2.67
    0.1951      2.78
    0.2050      2.88
    0.2150      2.99
    0.2249      3.09
    0.2348      3.19
    0.2448      3.30
    0.2547      3.40
    0.2647      3.50
    0.2746      3.60
    0.2845      3.70
    0.2945      3.80
    0.3044      3.90
    0.3143      4.00
    0.3243      4.10
    0.3342      4.20
    0.3441      4.30
    0.3541      4.40
    0.3640      4.49
    0.3740      4.59
    0.3839      4.69
    0.3938      4.79
    0.4038      4.90
    0.4137      5.00
    0.4236      5.10
    0.4336      5.20
    0.4435      5.30
    0.4535      5.40
    0.4634      5.51
    0.4733      5.61
    0.4833      5.71
    0.4932      5.82
    0.5031      5.92
    0.5131      6.03
    0.5230      6.14
    0.5330      6.24
    0.5429      6.35
    0.5528      6.46
    0.5628      6.57
    0.5727      6.68
    0.5826      6.79
    0.5926      6.90
    0.6025      7.02
    0.6125      7.13
    0.6224      7.25
    0.6323      7.37
    0.6423      7.48
    0.6522      7.60
    0.6621      7.73
    0.6721      7.85
    0.6820      7.98
    0.6919      8.10
    0.7019      8.23
    0.7118      8.37
    0.7218      8.50
    0.7317      8.64
    0.7416      8.78
    0.7516      8.93
    0.7615      9.08
    0.7714      9.23
    0.7814      9.39
    0.7913      9.56
    0.8013      9.73
    0.8112      9.91
    0.8211     10.10
    0.8311     10.31
    0.8410     10.52
    0.8509     10.75
    0.8609     10.99
    0.8708     11.26
    0.8808     11.56
    0.8907     11.89
    0.9006     12.27
    0.9106     12.71
    0.9205     13.24
    0.9304     13.89
    0.9404     14.70
    0.9503     15.70
    0.9603     16.92
    0.9702     18.39
    0.9801     20.24
    0.9901     24.43
    1.0000     36.73
