#      CDF      prot
#             (days)
    0.0019      0.23
    0.0120      1.94
    0.0221      3.01
    0.0322      3.82
    0.0423      4.49
    0.0523      5.07
    0.0624      5.59
    0.0725      6.07
    0.0826      6.52
    0.0927      6.94
    0.1027      7.35
    0.1128      7.73
    0.1229      8.10
    0.1330      8.46
    0.1431      8.81
    0.1531      9.14
    0.1632      9.47
    0.1733      9.80
    0.1834     10.11
    0.1935     10.43
    0.2036     10.73
    0.2136     11.04
    0.2237     11.34
    0.2338     11.63
    0.2439     11.93
    0.2540     12.22
    0.2640     12.50
    0.2741     12.79
    0.2842     13.07
    0.2943     13.34
    0.3044     13.61
    0.3145     13.88
    0.3245     14.14
    0.3346     14.39
    0.3447     14.64
    0.3548     14.88
    0.3649     15.12
    0.3749     15.36
    0.3850     15.59
    0.3951     15.81
    0.4052     16.04
    0.4153     16.25
    0.4254     16.47
    0.4354     16.68
    0.4455     16.89
    0.4556     17.09
    0.4657     17.30
    0.4758     17.50
    0.4858     17.70
    0.4959     17.90
    0.5060     18.10
    0.5161     18.30
    0.5262     18.49
    0.5362     18.69
    0.5463     18.89
    0.5564     19.08
    0.5665     19.28
    0.5766     19.48
    0.5867     19.68
    0.5967     19.88
    0.6068     20.07
    0.6169     20.28
    0.6270     20.48
    0.6371     20.68
    0.6471     20.88
    0.6572     21.09
    0.6673     21.29
    0.6774     21.50
    0.6875     21.71
    0.6976     21.92
    0.7076     22.13
    0.7177     22.34
    0.7278     22.55
    0.7379     22.76
    0.7480     22.98
    0.7580     23.20
    0.7681     23.42
    0.7782     23.64
    0.7883     23.86
    0.7984     24.09
    0.8085     24.33
    0.8185     24.57
    0.8286     24.81
    0.8387     25.07
    0.8488     25.33
    0.8589     25.60
    0.8689     25.89
    0.8790     26.19
    0.8891     26.50
    0.8992     26.84
    0.9093     27.21
    0.9193     27.61
    0.9294     28.06
    0.9395     28.56
    0.9496     29.15
    0.9597     29.87
    0.9698     30.83
    0.9798     32.39
    0.9899     36.80
    1.0000     49.43
