#      CDF      prot
#             (days)
    0.0125      0.42
    0.0225      0.93
    0.0325      1.41
    0.0424      1.87
    0.0524      2.31
    0.0624      2.73
    0.0724      3.14
    0.0823      3.53
    0.0923      3.91
    0.1023      4.27
    0.1123      4.63
    0.1222      4.98
    0.1322      5.32
    0.1422      5.65
    0.1522      5.98
    0.1621      6.30
    0.1721      6.62
    0.1821      6.93
    0.1921      7.23
    0.2020      7.53
    0.2120      7.82
    0.2220      8.12
    0.2320      8.40
    0.2419      8.69
    0.2519      8.97
    0.2619      9.25
    0.2719      9.53
    0.2818      9.80
    0.2918     10.07
    0.3018     10.34
    0.3118     10.61
    0.3217     10.87
    0.3317     11.14
    0.3417     11.40
    0.3516     11.66
    0.3616     11.92
    0.3716     12.18
    0.3816     12.44
    0.3915     12.70
    0.4015     12.95
    0.4115     13.21
    0.4215     13.47
    0.4314     13.72
    0.4414     13.98
    0.4514     14.24
    0.4614     14.50
    0.4713     14.75
    0.4813     15.01
    0.4913     15.27
    0.5013     15.53
    0.5112     15.79
    0.5212     16.06
    0.5312     16.32
    0.5412     16.59
    0.5511     16.86
    0.5611     17.13
    0.5711     17.40
    0.5811     17.68
    0.5910     17.96
    0.6010     18.24
    0.6110     18.53
    0.6210     18.82
    0.6309     19.11
    0.6409     19.41
    0.6509     19.72
    0.6609     20.03
    0.6708     20.34
    0.6808     20.66
    0.6908     20.99
    0.7008     21.33
    0.7107     21.68
    0.7207     22.04
    0.7307     22.40
    0.7407     22.78
    0.7506     23.17
    0.7606     23.58
    0.7706     24.00
    0.7806     24.44
    0.7905     24.90
    0.8005     25.38
    0.8105     25.89
    0.8205     26.44
    0.8304     27.02
    0.8404     27.64
    0.8504     28.31
    0.8604     29.06
    0.8703     29.88
    0.8803     30.81
    0.8903     31.87
    0.9003     33.14
    0.9102     34.68
    0.9202     36.65
    0.9302     39.30
    0.9402     42.91
    0.9501     46.93
    0.9601     50.53
    0.9701     53.91
    0.9801     57.69
    0.9900     62.71
    1.0000     68.73
