#      CDF      prot
#             (days)
    0.0212      0.78
    0.0311      0.97
    0.0410      1.15
    0.0509      1.32
    0.0607      1.49
    0.0706      1.66
    0.0805      1.82
    0.0904      1.97
    0.1003      2.13
    0.1102      2.28
    0.1201      2.43
    0.1299      2.58
    0.1398      2.73
    0.1497      2.87
    0.1596      3.02
    0.1695      3.16
    0.1794      3.30
    0.1893      3.44
    0.1992      3.58
    0.2090      3.72
    0.2189      3.85
    0.2288      3.99
    0.2387      4.13
    0.2486      4.26
    0.2585      4.40
    0.2684      4.54
    0.2783      4.67
    0.2881      4.81
    0.2980      4.94
    0.3079      5.08
    0.3178      5.21
    0.3277      5.35
    0.3376      5.49
    0.3475      5.62
    0.3573      5.76
    0.3672      5.90
    0.3771      6.03
    0.3870      6.17
    0.3969      6.31
    0.4068      6.45
    0.4167      6.59
    0.4266      6.73
    0.4364      6.87
    0.4463      7.01
    0.4562      7.15
    0.4661      7.29
    0.4760      7.43
    0.4859      7.58
    0.4958      7.72
    0.5057      7.86
    0.5155      8.01
    0.5254      8.16
    0.5353      8.30
    0.5452      8.45
    0.5551      8.60
    0.5650      8.75
    0.5749      8.91
    0.5847      9.06
    0.5946      9.21
    0.6045      9.37
    0.6144      9.53
    0.6243      9.69
    0.6342      9.85
    0.6441     10.02
    0.6540     10.18
    0.6638     10.35
    0.6737     10.53
    0.6836     10.70
    0.6935     10.88
    0.7034     11.06
    0.7133     11.25
    0.7232     11.44
    0.7331     11.64
    0.7429     11.84
    0.7528     12.05
    0.7627     12.26
    0.7726     12.48
    0.7825     12.71
    0.7924     12.95
    0.8023     13.21
    0.8121     13.47
    0.8220     13.75
    0.8319     14.04
    0.8418     14.36
    0.8517     14.69
    0.8616     15.06
    0.8715     15.46
    0.8814     15.89
    0.8912     16.38
    0.9011     16.94
    0.9110     17.58
    0.9209     18.34
    0.9308     19.27
    0.9407     20.47
    0.9506     22.05
    0.9605     24.02
    0.9703     26.15
    0.9802     28.47
    0.9901     32.14
    1.0000     42.68
