#      CDF      prot
#             (days)
    0.0040      0.52
    0.0140      1.32
    0.0241      1.96
    0.0342      2.50
    0.0442      2.98
    0.0543      3.41
    0.0643      3.80
    0.0744      4.17
    0.0845      4.51
    0.0945      4.84
    0.1046      5.15
    0.1146      5.44
    0.1247      5.73
    0.1348      6.01
    0.1448      6.27
    0.1549      6.54
    0.1650      6.79
    0.1750      7.04
    0.1851      7.29
    0.1951      7.53
    0.2052      7.77
    0.2153      8.00
    0.2253      8.23
    0.2354      8.46
    0.2454      8.69
    0.2555      8.91
    0.2656      9.13
    0.2756      9.36
    0.2857      9.58
    0.2957      9.80
    0.3058     10.01
    0.3159     10.23
    0.3259     10.45
    0.3360     10.66
    0.3460     10.88
    0.3561     11.09
    0.3662     11.31
    0.3762     11.52
    0.3863     11.73
    0.3964     11.95
    0.4064     12.16
    0.4165     12.37
    0.4265     12.58
    0.4366     12.79
    0.4467     13.01
    0.4567     13.22
    0.4668     13.43
    0.4768     13.64
    0.4869     13.85
    0.4970     14.06
    0.5070     14.26
    0.5171     14.47
    0.5271     14.68
    0.5372     14.89
    0.5473     15.09
    0.5573     15.30
    0.5674     15.51
    0.5774     15.71
    0.5875     15.92
    0.5976     16.13
    0.6076     16.33
    0.6177     16.54
    0.6278     16.75
    0.6378     16.96
    0.6479     17.16
    0.6579     17.37
    0.6680     17.58
    0.6781     17.79
    0.6881     18.01
    0.6982     18.22
    0.7082     18.44
    0.7183     18.66
    0.7284     18.88
    0.7384     19.11
    0.7485     19.34
    0.7585     19.58
    0.7686     19.82
    0.7787     20.06
    0.7887     20.32
    0.7988     20.58
    0.8088     20.85
    0.8189     21.13
    0.8290     21.42
    0.8390     21.73
    0.8491     22.05
    0.8591     22.40
    0.8692     22.77
    0.8793     23.16
    0.8893     23.60
    0.8994     24.07
    0.9095     24.61
    0.9195     25.24
    0.9296     25.99
    0.9396     26.94
    0.9497     28.28
    0.9598     30.33
    0.9698     32.67
    0.9799     34.63
    0.9899     36.52
    1.0000     38.89
