#      CDF      prot
#             (days)
    0.0099      0.73
    0.0199      1.34
    0.0299      1.90
    0.0399      2.42
    0.0499      2.91
    0.0599      3.38
    0.0699      3.82
    0.0799      4.25
    0.0899      4.66
    0.0999      5.07
    0.1099      5.46
    0.1199      5.84
    0.1299      6.22
    0.1399      6.59
    0.1499      6.95
    0.1599      7.31
    0.1699      7.67
    0.1799      8.02
    0.1899      8.37
    0.1999      8.72
    0.2099      9.06
    0.2199      9.40
    0.2299      9.75
    0.2399     10.08
    0.2499     10.42
    0.2599     10.76
    0.2699     11.09
    0.2799     11.42
    0.2899     11.75
    0.2999     12.08
    0.3100     12.41
    0.3200     12.74
    0.3300     13.06
    0.3400     13.38
    0.3500     13.70
    0.3600     14.02
    0.3700     14.33
    0.3800     14.65
    0.3900     14.96
    0.4000     15.26
    0.4100     15.57
    0.4200     15.87
    0.4300     16.17
    0.4400     16.46
    0.4500     16.76
    0.4600     17.05
    0.4700     17.34
    0.4800     17.63
    0.4900     17.91
    0.5000     18.19
    0.5100     18.47
    0.5200     18.75
    0.5300     19.03
    0.5400     19.31
    0.5500     19.58
    0.5600     19.86
    0.5700     20.13
    0.5800     20.41
    0.5900     20.68
    0.6000     20.95
    0.6100     21.23
    0.6200     21.50
    0.6300     21.78
    0.6400     22.05
    0.6500     22.33
    0.6600     22.61
    0.6700     22.90
    0.6800     23.18
    0.6900     23.48
    0.7000     23.77
    0.7100     24.07
    0.7200     24.38
    0.7300     24.69
    0.7400     25.01
    0.7500     25.34
    0.7600     25.67
    0.7700     26.02
    0.7800     26.39
    0.7900     26.76
    0.8000     27.16
    0.8100     27.58
    0.8200     28.02
    0.8300     28.49
    0.8400     29.01
    0.8500     29.57
    0.8600     30.19
    0.8700     30.89
    0.8800     31.71
    0.8900     32.69
    0.9000     33.93
    0.9100     35.55
    0.9200     37.68
    0.9300     40.13
    0.9400     42.51
    0.9500     44.73
    0.9600     46.90
    0.9700     49.19
    0.9800     51.99
    0.9900     56.81
    1.0000     66.67
