#      CDF      prot
#             (days)
    0.0046      0.84
    0.0147      1.83
    0.0248      2.62
    0.0348      3.29
    0.0449      3.87
    0.0549      4.38
    0.0650      4.85
    0.0750      5.28
    0.0851      5.68
    0.0951      6.05
    0.1052      6.41
    0.1152      6.74
    0.1253      7.07
    0.1353      7.38
    0.1454      7.68
    0.1555      7.97
    0.1655      8.26
    0.1756      8.54
    0.1856      8.82
    0.1957      9.09
    0.2057      9.36
    0.2158      9.63
    0.2258      9.89
    0.2359     10.16
    0.2459     10.42
    0.2560     10.69
    0.2661     10.95
    0.2761     11.22
    0.2862     11.49
    0.2962     11.76
    0.3063     12.03
    0.3163     12.31
    0.3264     12.59
    0.3364     12.87
    0.3465     13.16
    0.3565     13.45
    0.3666     13.74
    0.3766     14.04
    0.3867     14.34
    0.3968     14.65
    0.4068     14.96
    0.4169     15.27
    0.4269     15.58
    0.4370     15.90
    0.4470     16.22
    0.4571     16.54
    0.4671     16.86
    0.4772     17.18
    0.4872     17.50
    0.4973     17.82
    0.5073     18.14
    0.5174     18.46
    0.5275     18.78
    0.5375     19.10
    0.5476     19.41
    0.5576     19.73
    0.5677     20.04
    0.5777     20.36
    0.5878     20.67
    0.5978     20.99
    0.6079     21.30
    0.6179     21.61
    0.6280     21.92
    0.6381     22.23
    0.6481     22.54
    0.6582     22.86
    0.6682     23.17
    0.6783     23.48
    0.6883     23.79
    0.6984     24.10
    0.7084     24.42
    0.7185     24.73
    0.7285     25.05
    0.7386     25.37
    0.7486     25.69
    0.7587     26.01
    0.7688     26.34
    0.7788     26.67
    0.7889     27.01
    0.7989     27.35
    0.8090     27.70
    0.8190     28.06
    0.8291     28.43
    0.8391     28.81
    0.8492     29.21
    0.8592     29.62
    0.8693     30.05
    0.8794     30.50
    0.8894     30.98
    0.8995     31.50
    0.9095     32.05
    0.9196     32.66
    0.9296     33.33
    0.9397     34.08
    0.9497     34.95
    0.9598     35.97
    0.9698     37.22
    0.9799     38.85
    0.9899     41.45
    1.0000     56.70
