#      CDF      prot
#             (days)
    0.0075      0.47
    0.0175      1.04
    0.0275      1.51
    0.0376      1.93
    0.0476      2.31
    0.0576      2.65
    0.0676      2.98
    0.0777      3.29
    0.0877      3.58
    0.0977      3.87
    0.1077      4.14
    0.1178      4.41
    0.1278      4.67
    0.1378      4.92
    0.1478      5.18
    0.1579      5.42
    0.1679      5.67
    0.1779      5.91
    0.1879      6.15
    0.1980      6.39
    0.2080      6.63
    0.2180      6.87
    0.2280      7.10
    0.2381      7.34
    0.2481      7.57
    0.2581      7.80
    0.2682      8.03
    0.2782      8.26
    0.2882      8.48
    0.2982      8.71
    0.3083      8.93
    0.3183      9.15
    0.3283      9.38
    0.3383      9.60
    0.3484      9.82
    0.3584     10.03
    0.3684     10.25
    0.3784     10.46
    0.3885     10.68
    0.3985     10.89
    0.4085     11.10
    0.4185     11.31
    0.4286     11.52
    0.4386     11.73
    0.4486     11.94
    0.4586     12.15
    0.4687     12.36
    0.4787     12.57
    0.4887     12.77
    0.4987     12.98
    0.5088     13.19
    0.5188     13.39
    0.5288     13.60
    0.5388     13.80
    0.5489     14.01
    0.5589     14.22
    0.5689     14.43
    0.5789     14.64
    0.5890     14.84
    0.5990     15.05
    0.6090     15.26
    0.6190     15.48
    0.6291     15.69
    0.6391     15.90
    0.6491     16.11
    0.6591     16.33
    0.6692     16.55
    0.6792     16.76
    0.6892     16.98
    0.6992     17.20
    0.7093     17.42
    0.7193     17.64
    0.7293     17.87
    0.7393     18.09
    0.7494     18.32
    0.7594     18.55
    0.7694     18.79
    0.7794     19.03
    0.7895     19.27
    0.7995     19.52
    0.8095     19.77
    0.8195     20.03
    0.8296     20.30
    0.8396     20.57
    0.8496     20.86
    0.8596     21.16
    0.8697     21.47
    0.8797     21.79
    0.8897     22.14
    0.8997     22.51
    0.9098     22.90
    0.9198     23.33
    0.9298     23.81
    0.9398     24.35
    0.9499     24.97
    0.9599     25.75
    0.9699     26.83
    0.9799     28.64
    0.9900     31.66
    1.0000     51.65
