#      CDF      prot
#             (days)
    0.0034      0.28
    0.0134      1.45
    0.0235      2.40
    0.0336      3.22
    0.0436      3.95
    0.0537      4.61
    0.0638      5.21
    0.0738      5.76
    0.0839      6.28
    0.0940      6.77
    0.1040      7.24
    0.1141      7.68
    0.1242      8.11
    0.1342      8.53
    0.1443      8.93
    0.1544      9.32
    0.1644      9.71
    0.1745     10.08
    0.1846     10.45
    0.1946     10.82
    0.2047     11.18
    0.2148     11.54
    0.2248     11.90
    0.2349     12.25
    0.2450     12.61
    0.2550     12.96
    0.2651     13.31
    0.2752     13.66
    0.2852     14.02
    0.2953     14.37
    0.3054     14.72
    0.3154     15.07
    0.3255     15.42
    0.3356     15.77
    0.3456     16.12
    0.3557     16.47
    0.3658     16.81
    0.3758     17.15
    0.3859     17.48
    0.3960     17.81
    0.4060     18.14
    0.4161     18.46
    0.4262     18.77
    0.4362     19.07
    0.4463     19.37
    0.4564     19.67
    0.4664     19.95
    0.4765     20.24
    0.4866     20.51
    0.4966     20.78
    0.5067     21.05
    0.5168     21.32
    0.5268     21.58
    0.5369     21.83
    0.5470     22.09
    0.5570     22.34
    0.5671     22.59
    0.5772     22.84
    0.5872     23.09
    0.5973     23.34
    0.6074     23.59
    0.6174     23.83
    0.6275     24.08
    0.6376     24.34
    0.6476     24.59
    0.6577     24.84
    0.6678     25.10
    0.6779     25.36
    0.6879     25.63
    0.6980     25.90
    0.7081     26.17
    0.7181     26.45
    0.7282     26.73
    0.7383     27.02
    0.7483     27.31
    0.7584     27.61
    0.7685     27.91
    0.7785     28.22
    0.7886     28.54
    0.7987     28.86
    0.8087     29.19
    0.8188     29.53
    0.8289     29.87
    0.8389     30.22
    0.8490     30.58
    0.8591     30.95
    0.8691     31.34
    0.8792     31.73
    0.8893     32.15
    0.8993     32.58
    0.9094     33.05
    0.9195     33.54
    0.9295     34.08
    0.9396     34.69
    0.9497     35.37
    0.9597     36.17
    0.9698     37.14
    0.9799     38.41
    0.9899     40.31
    1.0000     46.91
