#      CDF      prot
#             (days)
    0.0021      0.28
    0.0122      1.72
    0.0223      2.84
    0.0323      3.78
    0.0424      4.62
    0.0525      5.37
    0.0626      6.06
    0.0727      6.70
    0.0827      7.30
    0.0928      7.87
    0.1029      8.42
    0.1130      8.93
    0.1231      9.43
    0.1331      9.91
    0.1432     10.38
    0.1533     10.83
    0.1634     11.26
    0.1735     11.68
    0.1835     12.10
    0.1936     12.50
    0.2037     12.89
    0.2138     13.28
    0.2239     13.66
    0.2339     14.03
    0.2440     14.39
    0.2541     14.75
    0.2642     15.10
    0.2743     15.45
    0.2843     15.79
    0.2944     16.12
    0.3045     16.44
    0.3146     16.76
    0.3247     17.07
    0.3347     17.38
    0.3448     17.68
    0.3549     17.97
    0.3650     18.25
    0.3751     18.53
    0.3851     18.80
    0.3952     19.07
    0.4053     19.33
    0.4154     19.59
    0.4255     19.84
    0.4355     20.09
    0.4456     20.33
    0.4557     20.57
    0.4658     20.81
    0.4759     21.05
    0.4859     21.28
    0.4960     21.51
    0.5061     21.74
    0.5162     21.97
    0.5262     22.20
    0.5363     22.43
    0.5464     22.65
    0.5565     22.88
    0.5666     23.10
    0.5766     23.32
    0.5867     23.55
    0.5968     23.77
    0.6069     23.99
    0.6170     24.22
    0.6270     24.44
    0.6371     24.66
    0.6472     24.89
    0.6573     25.11
    0.6674     25.33
    0.6774     25.56
    0.6875     25.78
    0.6976     26.01
    0.7077     26.24
    0.7178     26.46
    0.7278     26.69
    0.7379     26.92
    0.7480     27.15
    0.7581     27.38
    0.7682     27.62
    0.7782     27.86
    0.7883     28.09
    0.7984     28.34
    0.8085     28.58
    0.8186     28.83
    0.8286     29.09
    0.8387     29.35
    0.8488     29.61
    0.8589     29.89
    0.8690     30.17
    0.8790     30.46
    0.8891     30.77
    0.8992     31.09
    0.9093     31.42
    0.9194     31.78
    0.9294     32.16
    0.9395     32.58
    0.9496     33.04
    0.9597     33.56
    0.9698     34.16
    0.9798     34.88
    0.9899     35.81
    1.0000     37.17
