#      CDF      prot
#             (days)
    0.0015      0.54
    0.0116      2.28
    0.0217      3.30
    0.0317      4.05
    0.0418      4.67
    0.0519      5.20
    0.0620      5.68
    0.0721      6.12
    0.0822      6.53
    0.0923      6.91
    0.1023      7.28
    0.1124      7.64
    0.1225      7.99
    0.1326      8.32
    0.1427      8.65
    0.1528      8.97
    0.1629      9.28
    0.1729      9.58
    0.1830      9.88
    0.1931     10.18
    0.2032     10.47
    0.2133     10.75
    0.2234     11.03
    0.2335     11.30
    0.2435     11.58
    0.2536     11.85
    0.2637     12.11
    0.2738     12.38
    0.2839     12.64
    0.2940     12.90
    0.3041     13.17
    0.3142     13.43
    0.3242     13.69
    0.3343     13.95
    0.3444     14.22
    0.3545     14.48
    0.3646     14.75
    0.3747     15.01
    0.3848     15.28
    0.3948     15.55
    0.4049     15.81
    0.4150     16.08
    0.4251     16.35
    0.4352     16.61
    0.4453     16.88
    0.4554     17.14
    0.4654     17.40
    0.4755     17.66
    0.4856     17.91
    0.4957     18.16
    0.5058     18.41
    0.5159     18.66
    0.5260     18.90
    0.5360     19.13
    0.5461     19.37
    0.5562     19.60
    0.5663     19.82
    0.5764     20.05
    0.5865     20.27
    0.5966     20.48
    0.6066     20.70
    0.6167     20.91
    0.6268     21.13
    0.6369     21.34
    0.6470     21.55
    0.6571     21.75
    0.6672     21.96
    0.6772     22.17
    0.6873     22.38
    0.6974     22.59
    0.7075     22.80
    0.7176     23.01
    0.7277     23.22
    0.7378     23.44
    0.7478     23.66
    0.7579     23.88
    0.7680     24.10
    0.7781     24.33
    0.7882     24.57
    0.7983     24.81
    0.8084     25.06
    0.8185     25.31
    0.8285     25.57
    0.8386     25.84
    0.8487     26.13
    0.8588     26.42
    0.8689     26.73
    0.8790     27.06
    0.8891     27.40
    0.8991     27.77
    0.9092     28.16
    0.9193     28.58
    0.9294     29.04
    0.9395     29.55
    0.9496     30.12
    0.9597     30.79
    0.9697     31.59
    0.9798     32.63
    0.9899     34.28
    1.0000     41.34
