#      CDF      prot
#             (days)
    0.0059      0.22
    0.0159      1.14
    0.0260      1.89
    0.0360      2.53
    0.0461      3.10
    0.0561      3.61
    0.0661      4.08
    0.0762      4.52
    0.0862      4.93
    0.0963      5.31
    0.1063      5.68
    0.1163      6.03
    0.1264      6.37
    0.1364      6.70
    0.1465      7.01
    0.1565      7.32
    0.1666      7.62
    0.1766      7.91
    0.1866      8.20
    0.1967      8.48
    0.2067      8.76
    0.2168      9.04
    0.2268      9.31
    0.2368      9.58
    0.2469      9.85
    0.2569     10.12
    0.2670     10.38
    0.2770     10.65
    0.2871     10.91
    0.2971     11.17
    0.3071     11.43
    0.3172     11.69
    0.3272     11.95
    0.3373     12.21
    0.3473     12.47
    0.3573     12.72
    0.3674     12.97
    0.3774     13.22
    0.3875     13.47
    0.3975     13.72
    0.4075     13.96
    0.4176     14.20
    0.4276     14.44
    0.4377     14.67
    0.4477     14.90
    0.4578     15.13
    0.4678     15.35
    0.4778     15.58
    0.4879     15.80
    0.4979     16.01
    0.5080     16.23
    0.5180     16.44
    0.5280     16.65
    0.5381     16.86
    0.5481     17.07
    0.5582     17.28
    0.5682     17.48
    0.5783     17.69
    0.5883     17.89
    0.5983     18.09
    0.6084     18.29
    0.6184     18.50
    0.6285     18.70
    0.6385     18.90
    0.6485     19.10
    0.6586     19.30
    0.6686     19.51
    0.6787     19.71
    0.6887     19.92
    0.6988     20.12
    0.7088     20.33
    0.7188     20.55
    0.7289     20.76
    0.7389     20.98
    0.7490     21.20
    0.7590     21.43
    0.7690     21.66
    0.7791     21.90
    0.7891     22.15
    0.7992     22.40
    0.8092     22.66
    0.8193     22.93
    0.8293     23.21
    0.8393     23.51
    0.8494     23.82
    0.8594     24.14
    0.8695     24.49
    0.8795     24.86
    0.8895     25.26
    0.8996     25.69
    0.9096     26.16
    0.9197     26.68
    0.9297     27.28
    0.9398     27.97
    0.9498     28.80
    0.9598     29.86
    0.9699     31.38
    0.9799     33.95
    0.9900     38.43
    1.0000     68.16
