teff,logg,period
6035.0,4.25,15.29
5633.0,4.47,8.43
6134.0,4.2,11.5
6077.0,4.35,5.68
6194.0,4.25,13.14
4557.0,4.67,16.3
3934.0,4.89,9.58
5902.0,4.34,5.41
5376.0,4.56,12.38
6205.0,4.36,8.0
5876.0,4.3,16.52
6109.0,4.24,3.48
5932.0,4.34,12.84
6012.0,4.24,6.25
6030.0,4.21,3.09
5900.0,4.34,8.31
6159.0,4.35,2.95
5750.0,4.35,6.63
5355.0,4.53,14.7
6231.0,4.34,4.31
6227.0,4.23,9.88
5852.0,4.29,6.62
5957.0,4.35,8.81
5924.0,4.33,3.62
5698.0,4.45,7.93
6034.0,4.38,15.73
5786.0,4.44,7.88
5997.0,4.39,11.82
5470.0,4.49,16.74
6127.0,4.26,11.81
5953.0,4.39,7.25
6049.0,4.27,12.84
5875.0,4.39,12.56
5924.0,4.39,10.37
4859.0,4.63,15.46
4904.0,4.61,15.5
5178.0,4.56,1.3
5842.0,4.26,4.39
5948.0,4.43,4.71
5976.0,4.21,12.89
5843.0,4.44,4.94
6070.0,4.3,6.87
5606.0,4.49,7.29
5717.0,4.45,16.25
5873.0,4.44,12.9
4144.0,4.77,15.29
5758.0,4.43,10.53
4666.0,4.65,16.69
3515.0,5.05,17.96
3872.0,4.87,13.94
3788.0,4.91,14.89
3763.0,4.89,15.5
3940.0,4.88,16.22
3933.0,4.88,15.38
4039.0,4.81,16.69
3833.0,4.91,15.22
3723.0,4.94,4.84
3747.0,4.88,5.98
3937.0,4.84,15.64
4333.0,4.7,16.01
3849.0,4.88,17.5
3998.0,4.83,12.91
3743.0,4.95,11.39
3833.0,4.89,16.81
4297.0,4.76,21.48
3791.0,4.9,15.29
4970.0,4.61,24.3
4205.0,4.77,14.19
3567.0,5.02,30.22
5255.0,4.5,25.23
3632.0,5.12,34.86
4812.0,4.61,5.69
4591.0,4.65,11.6
4017.0,4.83,23.07
3930.0,4.89,30.5
3590.0,5.02,35.01
3712.0,4.96,22.17
3549.0,5.03,33.07
4950.0,4.6,12.68
3481.0,5.07,35.65
3880.0,4.88,22.06
3775.0,4.95,32.61
4324.0,4.72,23.35
3528.0,5.01,33.74
4063.0,4.86,31.86
3898.0,4.9,34.44
4213.0,4.75,21.79
4628.0,4.66,20.5
4605.0,4.67,36.55
3696.0,4.96,25.77
3802.0,4.88,15.26
4121.0,4.81,37.28
3688.0,4.94,20.31
4080.0,4.8,34.19
3646.0,4.99,35.75
3888.0,4.87,26.07
4717.0,4.64,23.74
4064.0,4.82,37.66
3647.0,5.02,35.57
3682.0,4.98,12.08
4514.0,4.66,11.0
3565.0,5.01,10.89
4965.0,4.56,21.81
4121.0,4.8,25.52
3597.0,4.99,16.57
4886.0,4.62,9.13
3691.0,4.93,23.65
4613.0,4.66,27.93
5464.0,4.54,26.32
4138.0,4.74,15.74
3509.0,5.05,2.27
4707.0,4.62,22.75
4809.0,4.61,25.04
3986.0,4.85,23.38
4240.0,4.76,26.11
4659.0,4.64,30.98
3838.0,4.86,24.4
3938.0,4.87,28.13
3882.0,4.94,14.88
4734.0,4.64,19.6
3713.0,4.99,35.88
4734.0,4.64,24.81
3758.0,4.95,35.45
4184.0,4.77,18.17
4203.0,4.77,22.8
3640.0,4.98,33.42
6054.0,4.23,7.18
3996.0,4.8,33.66
4075.0,4.81,28.23
3998.0,4.84,12.61
4001.0,4.85,20.58
4570.0,4.65,26.48
4127.0,4.81,24.01
4157.0,4.77,15.66
4139.0,4.78,18.22
3698.0,4.94,17.93
4602.0,4.64,18.1
5108.0,4.6,6.83
4735.0,4.64,23.86
4075.0,4.8,14.42
3690.0,4.98,17.79
5109.0,4.58,19.3
4341.0,4.74,19.35
3948.0,4.85,33.46
4825.0,4.62,35.15
3862.0,4.91,23.3
3622.0,5.0,21.85
3810.0,4.92,22.23
4099.0,4.78,36.73
3768.0,4.93,31.4
3607.0,5.06,35.3
3694.0,4.96,28.27
4026.0,4.85,22.39
5317.0,4.47,22.71
3924.0,4.85,18.51
4518.0,4.66,14.27
3520.0,5.05,33.32
3559.0,5.07,1.61
4111.0,4.8,13.26
3975.0,4.83,31.11
3600.0,5.01,1.61
4273.0,4.77,24.57
4159.0,4.77,12.64
4272.0,4.74,18.12
3568.0,5.01,25.83
4287.0,4.72,21.84
4069.0,4.83,24.86
3868.0,4.91,33.8
4190.0,4.78,33.15
3931.0,4.86,23.62
3802.0,4.91,34.37
3888.0,4.83,2.01
4839.0,4.52,24.13
4878.0,4.62,22.89
4128.0,4.79,19.31
4330.0,4.74,10.03
4964.0,4.61,19.37
4121.0,4.79,31.32
3702.0,4.97,27.89
6171.0,4.21,13.86
3610.0,4.98,23.27
3559.0,5.04,4.44
3738.0,4.91,16.75
3778.0,4.93,17.96
3892.0,4.85,17.57
3727.0,4.95,26.24
5002.0,4.59,23.25
3541.0,5.04,9.2
3764.0,4.94,22.52
5167.0,4.57,28.54
5340.0,4.53,25.24
3934.0,4.87,24.05
3534.0,5.03,32.08
4254.0,4.78,21.78
3675.0,4.99,34.54
3425.0,5.07,33.39
3494.0,5.06,15.57
3521.0,5.02,24.65
3629.0,4.98,35.48
4717.0,4.66,23.36
4857.0,4.61,17.95
4342.0,4.71,17.26
4446.0,4.68,2.59
6179.0,4.25,8.36
4629.0,4.65,24.78
4862.0,4.61,18.22
5899.0,4.31,9.27
4273.0,4.76,26.82
3883.0,4.89,19.71
4590.0,4.65,12.66
4003.0,4.84,33.27
3916.0,4.84,35.33
4739.0,4.63,21.06
4348.0,4.73,22.36
4044.0,4.86,22.94
4323.0,4.72,11.75
4480.0,4.68,24.15
4199.0,4.76,7.62
3971.0,4.89,15.4
3845.0,4.88,29.92
3793.0,4.91,17.84
3927.0,4.86,25.42
4175.0,4.77,25.84
3789.0,4.89,26.3
4718.0,4.63,22.66
3700.0,4.98,27.14
4697.0,4.63,18.55
3849.0,4.92,21.61
3707.0,4.94,21.05
4473.0,4.67,20.11
4034.0,4.81,18.17
4506.0,4.67,21.49
4499.0,4.66,25.57
3656.0,4.98,29.05
4251.0,4.75,21.37
3854.0,4.89,16.26
3834.0,4.86,30.54
4591.0,4.66,13.9
3963.0,4.85,12.64
3961.0,4.83,29.48
3676.0,4.96,30.18
3812.0,4.94,24.71
3810.0,4.91,22.61
3808.0,4.9,13.76
4061.0,4.81,18.1
4037.0,4.83,31.31
4633.0,4.67,1.59
4713.0,4.63,21.41
4107.0,4.78,22.27
3581.0,5.02,28.69
4245.0,4.76,19.41
3857.0,4.86,9.89
3915.0,4.88,23.82
3801.0,4.91,18.39
3488.0,5.06,33.54
3298.0,5.14,8.41
4598.0,4.67,16.77
4070.0,4.81,32.82
3815.0,4.91,25.72
5376.0,4.49,30.05
4102.0,4.81,12.19
3658.0,5.01,27.29
5055.0,4.6,26.59
4833.0,4.62,19.1
3916.0,4.86,18.33
4044.0,4.85,19.61
5200.0,4.56,7.02
3630.0,5.03,25.57
3772.0,4.89,14.01
3982.0,4.86,16.54
3929.0,4.86,22.19
5223.0,4.56,21.96
4401.0,4.72,20.98
5622.0,4.44,2.5
3692.0,4.98,21.82
5057.0,4.58,32.27
3871.0,4.87,17.15
5219.0,4.58,22.02
4714.0,4.63,26.58
3703.0,4.97,6.46
5072.0,4.76,37.62
3739.0,4.91,35.5
4769.0,4.64,18.51
3873.0,4.92,21.37
4893.0,4.62,22.24
3703.0,4.97,35.51
3655.0,4.93,30.13
4749.0,4.63,26.54
3889.0,4.91,18.18
4804.0,4.63,15.58
3631.0,4.98,21.58
6069.0,4.27,20.95
4607.0,4.64,35.49
3773.0,4.9,27.61
4675.0,4.64,25.2
4276.0,4.72,19.11
4117.0,4.79,26.85
3868.0,4.9,28.77
4120.0,4.83,16.18
4521.0,4.68,10.59
3962.0,4.85,26.99
3436.0,5.05,33.2
3694.0,4.99,32.5
4012.0,4.84,23.09
3707.0,5.0,33.67
4088.0,4.81,29.19
5224.0,4.57,14.27
3569.0,5.0,25.72
4805.0,4.61,16.59
3833.0,4.9,16.78
4866.0,4.61,24.06
4262.0,4.8,25.12
4193.0,4.76,2.92
4090.0,5.0,25.77
4004.0,4.8,18.36
3760.0,4.95,30.66
3714.0,4.92,36.59
4220.0,4.75,7.76
3984.0,4.84,25.57
4843.0,4.62,22.7
4906.0,4.61,16.94
4444.0,4.7,20.73
4133.0,4.79,33.67
4151.0,4.77,33.1
4149.0,4.78,21.89
3763.0,4.98,19.45
4319.0,4.73,24.4
5354.0,4.51,3.73
3784.0,4.91,21.8
4822.0,4.6,28.94
3386.0,5.17,3.48
3782.0,4.96,34.1
3696.0,4.96,21.95
3621.0,5.0,5.97
3664.0,5.03,23.41
4320.0,4.72,14.24
3614.0,4.97,21.91
3621.0,5.0,4.56
4449.0,4.7,27.89
5501.0,4.53,25.25
4058.0,4.79,36.64
4906.0,4.6,17.65
5026.0,4.58,10.63
5461.0,4.51,21.05
4339.0,4.73,7.67
4957.0,4.59,16.16
3680.0,4.96,25.16
4105.0,4.79,24.78
3802.0,4.93,17.97
3702.0,5.0,27.56
4685.0,4.63,16.28
4191.0,4.78,25.41
