#      CDF      prot
#             (days)
    0.0068      0.27
    0.0168      0.96
    0.0269      1.53
    0.0369      2.04
    0.0469      2.50
    0.0570      2.92
    0.0670      3.31
    0.0770      3.68
    0.0871      4.03
    0.0971      4.37
    0.1071      4.69
    0.1171      5.00
    0.1272      5.31
    0.1372      5.60
    0.1472      5.89
    0.1573      6.17
    0.1673      6.44
    0.1773      6.72
    0.1874      6.98
    0.1974      7.24
    0.2074      7.50
    0.2175      7.76
    0.2275      8.01
    0.2375      8.25
    0.2476      8.50
    0.2576      8.74
    0.2676      8.98
    0.2777      9.21
    0.2877      9.45
    0.2977      9.67
    0.3078      9.90
    0.3178     10.13
    0.3278     10.35
    0.3379     10.57
    0.3479     10.78
    0.3579     11.00
    0.3680     11.21
    0.3780     11.42
    0.3880     11.63
    0.3981     11.83
    0.4081     12.04
    0.4181     12.24
    0.4282     12.45
    0.4382     12.65
    0.4482     12.85
    0.4583     13.05
    0.4683     13.24
    0.4783     13.44
    0.4883     13.64
    0.4984     13.83
    0.5084     14.03
    0.5184     14.22
    0.5285     14.41
    0.5385     14.60
    0.5485     14.79
    0.5586     14.98
    0.5686     15.17
    0.5786     15.36
    0.5887     15.55
    0.5987     15.74
    0.6087     15.92
    0.6188     16.11
    0.6288     16.29
    0.6388     16.48
    0.6489     16.67
    0.6589     16.85
    0.6689     17.04
    0.6790     17.22
    0.6890     17.41
    0.6990     17.59
    0.7091     17.78
    0.7191     17.97
    0.7291     18.16
    0.7392     18.35
    0.7492     18.55
    0.7592     18.74
    0.7693     18.94
    0.7793     19.15
    0.7893     19.35
    0.7994     19.56
    0.8094     19.78
    0.8194     20.00
    0.8294     20.23
    0.8395     20.47
    0.8495     20.72
    0.8595     20.98
    0.8696     21.25
    0.8796     21.53
    0.8896     21.84
    0.8997     22.17
    0.9097     22.53
    0.9197     22.94
    0.9298     23.39
    0.9398     23.93
    0.9498     24.58
    0.9599     25.46
    0.9699     26.82
    0.9799     29.91
    0.9900     34.77
    1.0000     56.92
