#      CDF      prot
#             (days)
    0.0021      0.28
    0.0122      1.74
    0.0222      2.87
    0.0323      3.83
    0.0424      4.67
    0.0525      5.43
    0.0626      6.13
    0.0726      6.77
    0.0827      7.38
    0.0928      7.96
    0.1029      8.51
    0.1130      9.03
    0.1230      9.53
    0.1331     10.02
    0.1432     10.48
    0.1533     10.93
    0.1634     11.37
    0.1734     11.79
    0.1835     12.20
    0.1936     12.61
    0.2037     13.00
    0.2138     13.38
    0.2238     13.76
    0.2339     14.13
    0.2440     14.49
    0.2541     14.84
    0.2642     15.19
    0.2742     15.53
    0.2843     15.86
    0.2944     16.19
    0.3045     16.51
    0.3146     16.83
    0.3246     17.13
    0.3347     17.44
    0.3448     17.73
    0.3549     18.02
    0.3650     18.30
    0.3750     18.58
    0.3851     18.85
    0.3952     19.12
    0.4053     19.38
    0.4154     19.64
    0.4254     19.89
    0.4355     20.14
    0.4456     20.38
    0.4557     20.63
    0.4658     20.87
    0.4758     21.11
    0.4859     21.34
    0.4960     21.58
    0.5061     21.81
    0.5162     22.04
    0.5262     22.27
    0.5363     22.50
    0.5464     22.73
    0.5565     22.96
    0.5666     23.19
    0.5766     23.41
    0.5867     23.64
    0.5968     23.87
    0.6069     24.09
    0.6170     24.32
    0.6270     24.55
    0.6371     24.77
    0.6472     25.00
    0.6573     25.23
    0.6674     25.46
    0.6774     25.68
    0.6875     25.91
    0.6976     26.14
    0.7077     26.37
    0.7178     26.60
    0.7278     26.84
    0.7379     27.07
    0.7480     27.30
    0.7581     27.54
    0.7682     27.78
    0.7782     28.02
    0.7883     28.26
    0.7984     28.51
    0.8085     28.76
    0.8186     29.01
    0.8286     29.27
    0.8387     29.53
    0.8488     29.81
    0.8589     30.08
    0.8690     30.37
    0.8790     30.67
    0.8891     30.98
    0.8992     31.31
    0.9093     31.65
    0.9194     32.02
    0.9294     32.42
    0.9395     32.85
    0.9496     33.32
    0.9597     33.86
    0.9698     34.49
    0.9798     35.24
    0.9899     36.22
    1.0000     37.62
