#      CDF      prot
#             (days)
    0.0089      1.04
    0.0189      1.47
    0.0289      1.87
    0.0389      2.23
    0.0489      2.56
    0.0589      2.87
    0.0689      3.16
    0.0790      3.43
    0.0890      3.69
    0.0990      3.93
    0.1090      4.16
    0.1190      4.39
    0.1290      4.60
    0.1390      4.80
    0.1490      5.00
    0.1590      5.19
    0.1691      5.38
    0.1791      5.56
    0.1891      5.73
    0.1991      5.90
    0.2091      6.07
    0.2191      6.23
    0.2291      6.39
    0.2391      6.54
    0.2492      6.69
    0.2592      6.84
    0.2692      6.99
    0.2792      7.13
    0.2892      7.27
    0.2992      7.41
    0.3092      7.55
    0.3192      7.68
    0.3292      7.81
    0.3393      7.95
    0.3493      8.08
    0.3593      8.21
    0.3693      8.34
    0.3793      8.46
    0.3893      8.59
    0.3993      8.72
    0.4093      8.84
    0.4193      8.97
    0.4294      9.09
    0.4394      9.21
    0.4494      9.34
    0.4594      9.46
    0.4694      9.59
    0.4794      9.71
    0.4894      9.83
    0.4994      9.96
    0.5094     10.08
    0.5195     10.20
    0.5295     10.33
    0.5395     10.45
    0.5495     10.58
    0.5595     10.70
    0.5695     10.83
    0.5795     10.96
    0.5895     11.09
    0.5995     11.22
    0.6096     11.35
    0.6196     11.48
    0.6296     11.61
    0.6396     11.75
    0.6496     11.89
    0.6596     12.02
    0.6696     12.17
    0.6796     12.31
    0.6896     12.45
    0.6997     12.60
    0.7097     12.75
    0.7197     12.91
    0.7297     13.06
    0.7397     13.22
    0.7497     13.39
    0.7597     13.56
    0.7697     13.73
    0.7798     13.91
    0.7898     14.09
    0.7998     14.29
    0.8098     14.48
    0.8198     14.69
    0.8298     14.91
    0.8398     15.13
    0.8498     15.37
    0.8598     15.62
    0.8699     15.89
    0.8799     16.18
    0.8899     16.49
    0.8999     16.82
    0.9099     17.19
    0.9199     17.61
    0.9299     18.07
    0.9399     18.62
    0.9499     19.26
    0.9600     20.07
    0.9700     21.16
    0.9800     22.92
    0.9900     40.28
    1.0000     44.46
