#      CDF      prot
#             (days)
    0.0030      0.41
    0.0131      2.12
    0.0231      3.75
    0.0332      5.39
    0.0433      6.96
    0.0534      8.31
    0.0634      9.39
    0.0735     10.27
    0.0836     11.00
    0.0936     11.63
    0.1037     12.19
    0.1138     12.69
    0.1239     13.15
    0.1339     13.58
    0.1440     13.98
    0.1541     14.36
    0.1641     14.72
    0.1742     15.07
    0.1843     15.40
    0.1943     15.73
    0.2044     16.04
    0.2145     16.35
    0.2246     16.66
    0.2346     16.96
    0.2447     17.25
    0.2548     17.55
    0.2648     17.84
    0.2749     18.13
    0.2850     18.42
    0.2951     18.71
    0.3051     19.00
    0.3152     19.30
    0.3253     19.59
    0.3353     19.89
    0.3454     20.20
    0.3555     20.51
    0.3655     20.82
    0.3756     21.14
    0.3857     21.46
    0.3958     21.79
    0.4058     22.13
    0.4159     22.48
    0.4260     22.83
    0.4360     23.19
    0.4461     23.56
    0.4562     23.93
    0.4663     24.32
    0.4763     24.70
    0.4864     25.10
    0.4965     25.50
    0.5065     25.90
    0.5166     26.31
    0.5267     26.73
    0.5367     27.15
    0.5468     27.57
    0.5569     27.99
    0.5670     28.42
    0.5770     28.85
    0.5871     29.28
    0.5972     29.72
    0.6072     30.15
    0.6173     30.59
    0.6274     31.03
    0.6375     31.47
    0.6475     31.91
    0.6576     32.35
    0.6677     32.79
    0.6777     33.22
    0.6878     33.65
    0.6979     34.07
    0.7080     34.49
    0.7180     34.91
    0.7281     35.31
    0.7382     35.72
    0.7482     36.11
    0.7583     36.51
    0.7684     36.89
    0.7784     37.28
    0.7885     37.66
    0.7986     38.04
    0.8087     38.42
    0.8187     38.80
    0.8288     39.19
    0.8389     39.57
    0.8489     39.96
    0.8590     40.36
    0.8691     40.76
    0.8792     41.18
    0.8892     41.60
    0.8993     42.05
    0.9094     42.52
    0.9194     43.02
    0.9295     43.56
    0.9396     44.15
    0.9496     44.80
    0.9597     45.57
    0.9698     46.50
    0.9799     47.76
    0.9899     49.82
    1.0000     55.80
