#      CDF      prot
#             (days)
    0.0021      0.66
    0.0122      2.25
    0.0223      3.55
    0.0323      4.68
    0.0424      5.68
    0.0525      6.59
    0.0626      7.42
    0.0727      8.19
    0.0827      8.89
    0.0928      9.55
    0.1029     10.17
    0.1130     10.75
    0.1231     11.30
    0.1331     11.82
    0.1432     12.32
    0.1533     12.80
    0.1634     13.26
    0.1735     13.70
    0.1835     14.14
    0.1936     14.56
    0.2037     14.97
    0.2138     15.37
    0.2239     15.76
    0.2339     16.15
    0.2440     16.52
    0.2541     16.89
    0.2642     17.25
    0.2743     17.61
    0.2843     17.96
    0.2944     18.30
    0.3045     18.64
    0.3146     18.96
    0.3247     19.29
    0.3347     19.61
    0.3448     19.92
    0.3549     20.22
    0.3650     20.53
    0.3751     20.82
    0.3851     21.11
    0.3952     21.40
    0.4053     21.68
    0.4154     21.96
    0.4255     22.23
    0.4355     22.50
    0.4456     22.77
    0.4557     23.04
    0.4658     23.30
    0.4759     23.56
    0.4859     23.81
    0.4960     24.07
    0.5061     24.32
    0.5162     24.57
    0.5263     24.82
    0.5363     25.07
    0.5464     25.31
    0.5565     25.56
    0.5666     25.80
    0.5767     26.05
    0.5867     26.29
    0.5968     26.54
    0.6069     26.78
    0.6170     27.03
    0.6271     27.27
    0.6371     27.52
    0.6472     27.76
    0.6573     28.01
    0.6674     28.26
    0.6774     28.51
    0.6875     28.76
    0.6976     29.02
    0.7077     29.27
    0.7178     29.53
    0.7278     29.79
    0.7379     30.05
    0.7480     30.31
    0.7581     30.58
    0.7682     30.85
    0.7782     31.13
    0.7883     31.40
    0.7984     31.69
    0.8085     31.97
    0.8186     32.26
    0.8286     32.56
    0.8387     32.86
    0.8488     33.17
    0.8589     33.49
    0.8690     33.82
    0.8790     34.15
    0.8891     34.49
    0.8992     34.85
    0.9093     35.22
    0.9194     35.60
    0.9294     36.01
    0.9395     36.43
    0.9496     36.88
    0.9597     37.36
    0.9698     37.88
    0.9798     38.45
    0.9899     39.08
    1.0000     39.81
