#      CDF      prot
#             (days)
    0.0027      1.23
    0.0127      2.49
    0.0228      3.57
    0.0329      4.66
    0.0430      5.85
    0.0530      7.21
    0.0631      8.68
    0.0732      9.91
    0.0833     10.81
    0.0933     11.49
    0.1034     12.05
    0.1135     12.52
    0.1236     12.94
    0.1336     13.32
    0.1437     13.67
    0.1538     14.00
    0.1638     14.30
    0.1739     14.60
    0.1840     14.88
    0.1941     15.16
    0.2041     15.42
    0.2142     15.68
    0.2243     15.93
    0.2344     16.17
    0.2444     16.41
    0.2545     16.65
    0.2646     16.88
    0.2747     17.11
    0.2847     17.34
    0.2948     17.56
    0.3049     17.78
    0.3150     17.99
    0.3250     18.21
    0.3351     18.42
    0.3452     18.63
    0.3553     18.83
    0.3653     19.04
    0.3754     19.24
    0.3855     19.44
    0.3956     19.64
    0.4056     19.84
    0.4157     20.04
    0.4258     20.24
    0.4358     20.43
    0.4459     20.63
    0.4560     20.82
    0.4661     21.02
    0.4761     21.21
    0.4862     21.41
    0.4963     21.61
    0.5064     21.80
    0.5164     22.00
    0.5265     22.20
    0.5366     22.40
    0.5467     22.60
    0.5567     22.80
    0.5668     23.00
    0.5769     23.20
    0.5870     23.41
    0.5970     23.61
    0.6071     23.82
    0.6172     24.03
    0.6273     24.24
    0.6373     24.46
    0.6474     24.67
    0.6575     24.89
    0.6676     25.11
    0.6776     25.33
    0.6877     25.56
    0.6978     25.79
    0.7079     26.02
    0.7179     26.26
    0.7280     26.50
    0.7381     26.75
    0.7481     27.00
    0.7582     27.26
    0.7683     27.53
    0.7784     27.81
    0.7884     28.10
    0.7985     28.39
    0.8086     28.70
    0.8187     29.03
    0.8287     29.37
    0.8388     29.72
    0.8489     30.09
    0.8590     30.47
    0.8690     30.87
    0.8791     31.28
    0.8892     31.70
    0.8993     32.12
    0.9093     32.56
    0.9194     33.01
    0.9295     33.48
    0.9396     33.97
    0.9496     34.51
    0.9597     35.10
    0.9698     35.80
    0.9799     36.71
    0.9899     38.11
    1.0000     42.86
