#      CDF      prot
#             (days)
    0.0050      0.29
    0.0151      1.03
    0.0251      1.62
    0.0352      2.12
    0.0452      2.57
    0.0553      2.98
    0.0653      3.36
    0.0754      3.72
    0.0854      4.06
    0.0955      4.39
    0.1055      4.71
    0.1156      5.01
    0.1256      5.31
    0.1357      5.61
    0.1457      5.90
    0.1558      6.18
    0.1658      6.46
    0.1759      6.74
    0.1859      7.02
    0.1960      7.29
    0.2060      7.56
    0.2161      7.84
    0.2261      8.11
    0.2362      8.37
    0.2462      8.64
    0.2563      8.91
    0.2663      9.17
    0.2764      9.44
    0.2864      9.70
    0.2965      9.96
    0.3065     10.22
    0.3166     10.48
    0.3266     10.74
    0.3367     10.99
    0.3467     11.25
    0.3568     11.50
    0.3668     11.75
    0.3769     11.99
    0.3869     12.24
    0.3970     12.48
    0.4070     12.73
    0.4171     12.97
    0.4271     13.21
    0.4372     13.45
    0.4472     13.69
    0.4573     13.92
    0.4673     14.16
    0.4774     14.40
    0.4874     14.64
    0.4975     14.87
    0.5075     15.11
    0.5176     15.35
    0.5276     15.60
    0.5377     15.84
    0.5477     16.09
    0.5578     16.33
    0.5678     16.58
    0.5779     16.84
    0.5879     17.10
    0.5980     17.36
    0.6080     17.62
    0.6181     17.89
    0.6281     18.17
    0.6382     18.45
    0.6482     18.74
    0.6583     19.03
    0.6683     19.33
    0.6784     19.64
    0.6884     19.96
    0.6985     20.28
    0.7085     20.62
    0.7186     20.96
    0.7286     21.31
    0.7387     21.67
    0.7487     22.05
    0.7588     22.43
    0.7688     22.83
    0.7789     23.24
    0.7889     23.66
    0.7990     24.10
    0.8090     24.56
    0.8191     25.04
    0.8291     25.55
    0.8392     26.09
    0.8492     26.66
    0.8593     27.28
    0.8693     27.94
    0.8794     28.64
    0.8894     29.37
    0.8995     30.12
    0.9095     30.86
    0.9196     31.60
    0.9296     32.34
    0.9397     33.07
    0.9497     33.83
    0.9598     34.64
    0.9698     35.55
    0.9799     36.66
    0.9899     38.35
    1.0000     46.05
