#      CDF      prot
#             (days)
    0.0008      0.74
    0.0109      3.70
    0.0210      5.55
    0.0311      6.94
    0.0412      7.98
    0.0513      8.78
    0.0613      9.43
    0.0714      9.98
    0.0815     10.47
    0.0916     10.91
    0.1017     11.31
    0.1118     11.69
    0.1219     12.04
    0.1320     12.38
    0.1421     12.71
    0.1522     13.02
    0.1623     13.33
    0.1724     13.62
    0.1825     13.92
    0.1926     14.20
    0.2026     14.48
    0.2127     14.76
    0.2228     15.03
    0.2329     15.30
    0.2430     15.57
    0.2531     15.83
    0.2632     16.09
    0.2733     16.35
    0.2834     16.60
    0.2935     16.86
    0.3036     17.10
    0.3137     17.35
    0.3238     17.59
    0.3339     17.83
    0.3439     18.06
    0.3540     18.30
    0.3641     18.53
    0.3742     18.76
    0.3843     18.98
    0.3944     19.20
    0.4045     19.42
    0.4146     19.64
    0.4247     19.86
    0.4348     20.08
    0.4449     20.29
    0.4550     20.50
    0.4651     20.71
    0.4752     20.93
    0.4853     21.14
    0.4953     21.34
    0.5054     21.55
    0.5155     21.76
    0.5256     21.97
    0.5357     22.18
    0.5458     22.39
    0.5559     22.60
    0.5660     22.82
    0.5761     23.03
    0.5862     23.24
    0.5963     23.46
    0.6064     23.68
    0.6165     23.90
    0.6266     24.12
    0.6366     24.35
    0.6467     24.58
    0.6568     24.81
    0.6669     25.05
    0.6770     25.29
    0.6871     25.54
    0.6972     25.79
    0.7073     26.05
    0.7174     26.32
    0.7275     26.59
    0.7376     26.87
    0.7477     27.16
    0.7578     27.46
    0.7679     27.77
    0.7780     28.09
    0.7880     28.43
    0.7981     28.77
    0.8082     29.13
    0.8183     29.51
    0.8284     29.90
    0.8385     30.30
    0.8486     30.73
    0.8587     31.17
    0.8688     31.64
    0.8789     32.12
    0.8890     32.63
    0.8991     33.16
    0.9092     33.72
    0.9193     34.31
    0.9293     34.94
    0.9394     35.63
    0.9495     36.38
    0.9596     37.24
    0.9697     38.27
    0.9798     39.60
    0.9899     41.42
    1.0000     44.21
