#      CDF      prot
#             (days)
    0.0030      0.37
    0.0131      1.69
    0.0232      2.81
    0.0332      3.79
    0.0433      4.65
    0.0534      5.41
    0.0634      6.10
    0.0735      6.73
    0.0836      7.31
    0.0937      7.86
    0.1037      8.37
    0.1138      8.85
    0.1239      9.31
    0.1339      9.75
    0.1440     10.18
    0.1541     10.59
    0.1641     10.99
    0.1742     11.38
    0.1843     11.75
    0.1944     12.12
    0.2044     12.48
    0.2145     12.83
    0.2246     13.18
    0.2346     13.51
    0.2447     13.85
    0.2548     14.17
    0.2648     14.50
    0.2749     14.82
    0.2850     15.14
    0.2951     15.45
    0.3051     15.76
    0.3152     16.08
    0.3253     16.39
    0.3353     16.70
    0.3454     17.02
    0.3555     17.33
    0.3656     17.65
    0.3756     17.97
    0.3857     18.29
    0.3958     18.61
    0.4058     18.94
    0.4159     19.27
    0.4260     19.60
    0.4360     19.93
    0.4461     20.26
    0.4562     20.59
    0.4663     20.92
    0.4763     21.25
    0.4864     21.58
    0.4965     21.91
    0.5065     22.23
    0.5166     22.55
    0.5267     22.87
    0.5368     23.18
    0.5468     23.49
    0.5569     23.79
    0.5670     24.09
    0.5770     24.38
    0.5871     24.67
    0.5972     24.96
    0.6072     25.24
    0.6173     25.52
    0.6274     25.80
    0.6375     26.07
    0.6475     26.35
    0.6576     26.62
    0.6677     26.89
    0.6777     27.16
    0.6878     27.42
    0.6979     27.69
    0.7080     27.96
    0.7180     28.23
    0.7281     28.50
    0.7382     28.78
    0.7482     29.05
    0.7583     29.33
    0.7684     29.61
    0.7784     29.89
    0.7885     30.18
    0.7986     30.48
    0.8087     30.78
    0.8187     31.09
    0.8288     31.41
    0.8389     31.73
    0.8489     32.07
    0.8590     32.43
    0.8691     32.79
    0.8792     33.18
    0.8892     33.59
    0.8993     34.02
    0.9094     34.49
    0.9194     34.99
    0.9295     35.55
    0.9396     36.18
    0.9496     36.89
    0.9597     37.74
    0.9698     38.78
    0.9799     40.14
    0.9899     42.07
    1.0000     45.22
