#      CDF      prot
#             (days)
    0.0007      0.23
    0.0108      3.43
    0.0209      5.19
    0.0310      6.38
    0.0411      7.26
    0.0512      7.97
    0.0613      8.57
    0.0714      9.11
    0.0815      9.60
    0.0916     10.05
    0.1016     10.48
    0.1117     10.90
    0.1218     11.30
    0.1319     11.69
    0.1420     12.07
    0.1521     12.45
    0.1622     12.82
    0.1723     13.17
    0.1824     13.52
    0.1925     13.86
    0.2026     14.19
    0.2127     14.51
    0.2228     14.81
    0.2329     15.11
    0.2430     15.39
    0.2531     15.66
    0.2631     15.92
    0.2732     16.18
    0.2833     16.43
    0.2934     16.67
    0.3035     16.90
    0.3136     17.13
    0.3237     17.36
    0.3338     17.58
    0.3439     17.79
    0.3540     18.01
    0.3641     18.22
    0.3742     18.43
    0.3843     18.64
    0.3944     18.84
    0.4045     19.05
    0.4146     19.25
    0.4247     19.45
    0.4347     19.65
    0.4448     19.84
    0.4549     20.04
    0.4650     20.23
    0.4751     20.42
    0.4852     20.61
    0.4953     20.81
    0.5054     21.00
    0.5155     21.19
    0.5256     21.37
    0.5357     21.56
    0.5458     21.75
    0.5559     21.94
    0.5660     22.14
    0.5761     22.33
    0.5862     22.52
    0.5962     22.72
    0.6063     22.92
    0.6164     23.12
    0.6265     23.32
    0.6366     23.53
    0.6467     23.74
    0.6568     23.95
    0.6669     24.17
    0.6770     24.40
    0.6871     24.63
    0.6972     24.87
    0.7073     25.11
    0.7174     25.37
    0.7275     25.63
    0.7376     25.89
    0.7477     26.17
    0.7577     26.46
    0.7678     26.76
    0.7779     27.07
    0.7880     27.39
    0.7981     27.72
    0.8082     28.07
    0.8183     28.44
    0.8284     28.82
    0.8385     29.22
    0.8486     29.64
    0.8587     30.09
    0.8688     30.56
    0.8789     31.04
    0.8890     31.55
    0.8991     32.08
    0.9092     32.62
    0.9192     33.17
    0.9293     33.74
    0.9394     34.33
    0.9495     34.96
    0.9596     35.64
    0.9697     36.41
    0.9798     37.37
    0.9899     38.76
    1.0000     44.28
