#      CDF      prot
#             (days)
    0.0015      0.52
    0.0116      3.32
    0.0217      6.39
    0.0318      8.38
    0.0419      9.49
    0.0519     10.25
    0.0620     10.84
    0.0721     11.33
    0.0822     11.76
    0.0923     12.15
    0.1024     12.50
    0.1125     12.82
    0.1225     13.12
    0.1326     13.41
    0.1427     13.68
    0.1528     13.95
    0.1629     14.20
    0.1730     14.45
    0.1831     14.69
    0.1931     14.93
    0.2032     15.16
    0.2133     15.39
    0.2234     15.62
    0.2335     15.85
    0.2436     16.08
    0.2537     16.31
    0.2637     16.53
    0.2738     16.76
    0.2839     17.00
    0.2940     17.23
    0.3041     17.47
    0.3142     17.71
    0.3243     17.95
    0.3343     18.20
    0.3444     18.46
    0.3545     18.72
    0.3646     18.99
    0.3747     19.26
    0.3848     19.54
    0.3949     19.82
    0.4049     20.12
    0.4150     20.41
    0.4251     20.72
    0.4352     21.03
    0.4453     21.34
    0.4554     21.66
    0.4655     21.97
    0.4755     22.29
    0.4856     22.62
    0.4957     22.94
    0.5058     23.26
    0.5159     23.58
    0.5260     23.91
    0.5361     24.23
    0.5461     24.55
    0.5562     24.87
    0.5663     25.20
    0.5764     25.52
    0.5865     25.85
    0.5966     26.18
    0.6067     26.51
    0.6167     26.84
    0.6268     27.18
    0.6369     27.51
    0.6470     27.85
    0.6571     28.19
    0.6672     28.53
    0.6773     28.87
    0.6873     29.21
    0.6974     29.56
    0.7075     29.90
    0.7176     30.24
    0.7277     30.59
    0.7378     30.93
    0.7479     31.28
    0.7579     31.63
    0.7680     31.98
    0.7781     32.33
    0.7882     32.69
    0.7983     33.05
    0.8084     33.41
    0.8185     33.79
    0.8285     34.17
    0.8386     34.56
    0.8487     34.96
    0.8588     35.38
    0.8689     35.82
    0.8790     36.27
    0.8891     36.75
    0.8991     37.26
    0.9092     37.80
    0.9193     38.38
    0.9294     39.00
    0.9395     39.68
    0.9496     40.42
    0.9597     41.25
    0.9697     42.20
    0.9798     43.33
    0.9899     44.81
    1.0000     47.28
