#      CDF      prot
#             (days)
    0.0058      0.24
    0.0158      0.95
    0.0259      1.60
    0.0359      2.20
    0.0460      2.75
    0.0560      3.28
    0.0661      3.78
    0.0761      4.25
    0.0861      4.70
    0.0962      5.14
    0.1062      5.56
    0.1163      5.96
    0.1263      6.35
    0.1363      6.72
    0.1464      7.09
    0.1564      7.45
    0.1665      7.80
    0.1765      8.14
    0.1866      8.47
    0.1966      8.80
    0.2066      9.12
    0.2167      9.44
    0.2267      9.75
    0.2368     10.06
    0.2468     10.37
    0.2569     10.67
    0.2669     10.97
    0.2769     11.26
    0.2870     11.56
    0.2970     11.85
    0.3071     12.14
    0.3171     12.44
    0.3272     12.73
    0.3372     13.02
    0.3472     13.31
    0.3573     13.60
    0.3673     13.89
    0.3774     14.18
    0.3874     14.48
    0.3975     14.77
    0.4075     15.07
    0.4175     15.37
    0.4276     15.68
    0.4376     15.98
    0.4477     16.29
    0.4577     16.61
    0.4677     16.93
    0.4778     17.25
    0.4878     17.58
    0.4979     17.91
    0.5079     18.25
    0.5180     18.59
    0.5280     18.95
    0.5380     19.31
    0.5481     19.67
    0.5581     20.05
    0.5682     20.43
    0.5782     20.82
    0.5883     21.22
    0.5983     21.63
    0.6083     22.05
    0.6184     22.47
    0.6284     22.91
    0.6385     23.36
    0.6485     23.81
    0.6586     24.27
    0.6686     24.74
    0.6786     25.22
    0.6887     25.70
    0.6987     26.19
    0.7088     26.68
    0.7188     27.17
    0.7289     27.67
    0.7389     28.18
    0.7489     28.68
    0.7590     29.19
    0.7690     29.69
    0.7791     30.20
    0.7891     30.71
    0.7992     31.22
    0.8092     31.73
    0.8192     32.25
    0.8293     32.76
    0.8393     33.28
    0.8494     33.80
    0.8594     34.33
    0.8694     34.86
    0.8795     35.40
    0.8895     35.95
    0.8996     36.52
    0.9096     37.09
    0.9197     37.68
    0.9297     38.30
    0.9397     38.94
    0.9498     39.61
    0.9598     40.33
    0.9699     41.10
    0.9799     41.93
    0.9900     42.87
    1.0000     43.94
