#      CDF      prot
#             (days)
    0.0026      0.45
    0.0127      1.56
    0.0227      2.38
    0.0328      3.04
    0.0429      3.60
    0.0530      4.10
    0.0630      4.54
    0.0731      4.95
    0.0832      5.33
    0.0933      5.69
    0.1033      6.03
    0.1134      6.35
    0.1235      6.66
    0.1336      6.97
    0.1436      7.26
    0.1537      7.55
    0.1638      7.83
    0.1739      8.11
    0.1839      8.38
    0.1940      8.65
    0.2041      8.93
    0.2142      9.20
    0.2242      9.46
    0.2343      9.73
    0.2444     10.00
    0.2545     10.27
    0.2645     10.54
    0.2746     10.82
    0.2847     11.09
    0.2948     11.36
    0.3048     11.64
    0.3149     11.91
    0.3250     12.19
    0.3351     12.46
    0.3451     12.74
    0.3552     13.01
    0.3653     13.28
    0.3754     13.54
    0.3854     13.81
    0.3955     14.07
    0.4056     14.33
    0.4157     14.58
    0.4257     14.83
    0.4358     15.08
    0.4459     15.32
    0.4560     15.56
    0.4660     15.80
    0.4761     16.03
    0.4862     16.26
    0.4963     16.49
    0.5063     16.72
    0.5164     16.94
    0.5265     17.16
    0.5366     17.38
    0.5466     17.60
    0.5567     17.81
    0.5668     18.02
    0.5769     18.23
    0.5869     18.44
    0.5970     18.65
    0.6071     18.85
    0.6172     19.05
    0.6272     19.25
    0.6373     19.45
    0.6474     19.65
    0.6575     19.84
    0.6675     20.04
    0.6776     20.23
    0.6877     20.42
    0.6978     20.62
    0.7078     20.81
    0.7179     21.00
    0.7280     21.19
    0.7381     21.39
    0.7481     21.58
    0.7582     21.78
    0.7683     21.98
    0.7784     22.18
    0.7884     22.39
    0.7985     22.60
    0.8086     22.81
    0.8187     23.03
    0.8287     23.25
    0.8388     23.48
    0.8489     23.72
    0.8590     23.97
    0.8690     24.23
    0.8791     24.51
    0.8892     24.81
    0.8993     25.12
    0.9093     25.47
    0.9194     25.85
    0.9295     26.27
    0.9396     26.76
    0.9496     27.33
    0.9597     28.02
    0.9698     28.89
    0.9799     30.04
    0.9899     31.79
    1.0000     38.02
