#      CDF      prot
#             (days)
    0.0180      1.27
    0.0279      1.59
    0.0378      1.91
    0.0477      2.21
    0.0577      2.49
    0.0676      2.77
    0.0775      3.04
    0.0874      3.30
    0.0973      3.55
    0.1072      3.79
    0.1172      4.03
    0.1271      4.27
    0.1370      4.50
    0.1469      4.72
    0.1568      4.94
    0.1668      5.16
    0.1767      5.38
    0.1866      5.59
    0.1965      5.80
    0.2064      6.00
    0.2164      6.20
    0.2263      6.41
    0.2362      6.60
    0.2461      6.80
    0.2560      6.99
    0.2660      7.19
    0.2759      7.38
    0.2858      7.57
    0.2957      7.76
    0.3056      7.94
    0.3156      8.13
    0.3255      8.31
    0.3354      8.50
    0.3453      8.68
    0.3552      8.86
    0.3652      9.04
    0.3751      9.22
    0.3850      9.40
    0.3949      9.58
    0.4048      9.76
    0.4148      9.94
    0.4247     10.12
    0.4346     10.29
    0.4445     10.47
    0.4544     10.65
    0.4643     10.83
    0.4743     11.01
    0.4842     11.19
    0.4941     11.37
    0.5040     11.55
    0.5139     11.73
    0.5239     11.91
    0.5338     12.09
    0.5437     12.28
    0.5536     12.46
    0.5635     12.65
    0.5735     12.84
    0.5834     13.02
    0.5933     13.22
    0.6032     13.41
    0.6131     13.60
    0.6231     13.80
    0.6330     14.00
    0.6429     14.20
    0.6528     14.41
    0.6627     14.61
    0.6727     14.83
    0.6826     15.04
    0.6925     15.26
    0.7024     15.48
    0.7123     15.71
    0.7223     15.94
    0.7322     16.18
    0.7421     16.42
    0.7520     16.67
    0.7619     16.93
    0.7719     17.20
    0.7818     17.47
    0.7917     17.75
    0.8016     18.05
    0.8115     18.35
    0.8214     18.67
    0.8314     19.01
    0.8413     19.36
    0.8512     19.73
    0.8611     20.13
    0.8710     20.56
    0.8810     21.02
    0.8909     21.52
    0.9008     22.08
    0.9107     22.71
    0.9206     23.43
    0.9306     24.28
    0.9405     25.30
    0.9504     26.58
    0.9603     28.24
    0.9702     30.57
    0.9802     35.92
    0.9901     59.66
    1.0000     65.34
