#      CDF      prot
#             (days)
    0.0080      9.05
    0.0180      9.41
    0.0280      9.75
    0.0380     10.09
    0.0481     10.41
    0.0581     10.73
    0.0681     11.04
    0.0781     11.35
    0.0881     11.65
    0.0982     11.95
    0.1082     12.24
    0.1182     12.54
    0.1282     12.83
    0.1382     13.11
    0.1483     13.40
    0.1583     13.69
    0.1683     13.97
    0.1783     14.26
    0.1884     14.54
    0.1984     14.83
    0.2084     15.12
    0.2184     15.41
    0.2284     15.70
    0.2385     15.99
    0.2485     16.28
    0.2585     16.58
    0.2685     16.88
    0.2785     17.18
    0.2886     17.49
    0.2986     17.80
    0.3086     18.12
    0.3186     18.43
    0.3286     18.76
    0.3387     19.09
    0.3487     19.42
    0.3587     19.76
    0.3687     20.10
    0.3787     20.45
    0.3888     20.80
    0.3988     21.15
    0.4088     21.50
    0.4188     21.86
    0.4288     22.22
    0.4389     22.57
    0.4489     22.93
    0.4589     23.28
    0.4689     23.62
    0.4789     23.96
    0.4890     24.29
    0.4990     24.62
    0.5090     24.94
    0.5190     25.25
    0.5290     25.56
    0.5391     25.85
    0.5491     26.15
    0.5591     26.43
    0.5691     26.71
    0.5791     26.98
    0.5892     27.24
    0.5992     27.51
    0.6092     27.76
    0.6192     28.01
    0.6292     28.26
    0.6393     28.50
    0.6493     28.75
    0.6593     28.98
    0.6693     29.22
    0.6793     29.45
    0.6894     29.68
    0.6994     29.91
    0.7094     30.14
    0.7194     30.37
    0.7295     30.59
    0.7395     30.82
    0.7495     31.05
    0.7595     31.27
    0.7695     31.50
    0.7796     31.73
    0.7896     31.96
    0.7996     32.19
    0.8096     32.42
    0.8196     32.66
    0.8297     32.90
    0.8397     33.14
    0.8497     33.39
    0.8597     33.64
    0.8697     33.90
    0.8798     34.16
    0.8898     34.43
    0.8998     34.71
    0.9098     35.00
    0.9198     35.30
    0.9299     35.61
    0.9399     35.94
    0.9499     36.28
    0.9599     36.65
    0.9699     37.04
    0.9800     37.46
    0.9900     37.92
    1.0000     38.44
