#      CDF      prot
#             (days)
    0.0109      1.44
    0.0209      1.84
    0.0309      2.22
    0.0409      2.59
    0.0509      2.95
    0.0609      3.31
    0.0708      3.66
    0.0808      4.00
    0.0908      4.34
    0.1008      4.68
    0.1108      5.02
    0.1208      5.36
    0.1308      5.71
    0.1408      6.05
    0.1508      6.40
    0.1608      6.75
    0.1708      7.11
    0.1807      7.48
    0.1907      7.85
    0.2007      8.23
    0.2107      8.62
    0.2207      9.02
    0.2307      9.44
    0.2407      9.86
    0.2507     10.29
    0.2607     10.74
    0.2707     11.20
    0.2807     11.66
    0.2906     12.14
    0.3006     12.62
    0.3106     13.11
    0.3206     13.60
    0.3306     14.09
    0.3406     14.57
    0.3506     15.06
    0.3606     15.54
    0.3706     16.01
    0.3806     16.48
    0.3906     16.94
    0.4005     17.39
    0.4105     17.83
    0.4205     18.26
    0.4305     18.69
    0.4405     19.11
    0.4505     19.52
    0.4605     19.92
    0.4705     20.32
    0.4805     20.72
    0.4905     21.10
    0.5005     21.48
    0.5104     21.86
    0.5204     22.23
    0.5304     22.60
    0.5404     22.96
    0.5504     23.32
    0.5604     23.68
    0.5704     24.03
    0.5804     24.38
    0.5904     24.72
    0.6004     25.07
    0.6104     25.40
    0.6203     25.74
    0.6303     26.07
    0.6403     26.40
    0.6503     26.73
    0.6603     27.05
    0.6703     27.37
    0.6803     27.69
    0.6903     28.01
    0.7003     28.33
    0.7103     28.65
    0.7203     28.97
    0.7302     29.28
    0.7402     29.60
    0.7502     29.92
    0.7602     30.24
    0.7702     30.56
    0.7802     30.88
    0.7902     31.21
    0.8002     31.54
    0.8102     31.88
    0.8202     32.22
    0.8302     32.57
    0.8401     32.93
    0.8501     33.30
    0.8601     33.68
    0.8701     34.07
    0.8801     34.48
    0.8901     34.91
    0.9001     35.36
    0.9101     35.84
    0.9201     36.36
    0.9301     36.92
    0.9401     37.53
    0.9500     38.22
    0.9600     39.02
    0.9700     39.98
    0.9800     41.21
    0.9900     43.00
    1.0000     46.57
