#      CDF      prot
#             (days)
    0.0017      0.34
    0.0118      2.47
    0.0219      4.05
    0.0320      5.29
    0.0420      6.31
    0.0521      7.18
    0.0622      7.95
    0.0723      8.65
    0.0824      9.28
    0.0925      9.87
    0.1025     10.42
    0.1126     10.94
    0.1227     11.44
    0.1328     11.92
    0.1429     12.38
    0.1530     12.83
    0.1631     13.26
    0.1731     13.69
    0.1832     14.11
    0.1933     14.52
    0.2034     14.93
    0.2135     15.33
    0.2236     15.73
    0.2336     16.13
    0.2437     16.53
    0.2538     16.92
    0.2639     17.32
    0.2740     17.71
    0.2841     18.10
    0.2941     18.50
    0.3042     18.89
    0.3143     19.28
    0.3244     19.68
    0.3345     20.07
    0.3446     20.47
    0.3546     20.86
    0.3647     21.25
    0.3748     21.64
    0.3849     22.03
    0.3950     22.41
    0.4051     22.80
    0.4151     23.18
    0.4252     23.55
    0.4353     23.93
    0.4454     24.30
    0.4555     24.66
    0.4656     25.03
    0.4756     25.39
    0.4857     25.74
    0.4958     26.10
    0.5059     26.45
    0.5160     26.79
    0.5261     27.14
    0.5361     27.48
    0.5462     27.82
    0.5563     28.16
    0.5664     28.50
    0.5765     28.83
    0.5866     29.17
    0.5967     29.50
    0.6067     29.83
    0.6168     30.16
    0.6269     30.49
    0.6370     30.82
    0.6471     31.15
    0.6572     31.48
    0.6672     31.81
    0.6773     32.14
    0.6874     32.47
    0.6975     32.81
    0.7076     33.14
    0.7177     33.47
    0.7277     33.80
    0.7378     34.14
    0.7479     34.47
    0.7580     34.81
    0.7681     35.15
    0.7782     35.48
    0.7882     35.83
    0.7983     36.17
    0.8084     36.51
    0.8185     36.86
    0.8286     37.21
    0.8387     37.56
    0.8487     37.92
    0.8588     38.29
    0.8689     38.65
    0.8790     39.03
    0.8891     39.41
    0.8992     39.80
    0.9092     40.20
    0.9193     40.61
    0.9294     41.03
    0.9395     41.47
    0.9496     41.92
    0.9597     42.40
    0.9697     42.91
    0.9798     43.45
    0.9899     44.03
    1.0000     44.66
