#      CDF      prot
#             (days)
    0.0012      0.89
    0.0113      3.78
    0.0214      5.52
    0.0315      6.69
    0.0415      7.57
    0.0516      8.29
    0.0617      8.89
    0.0718      9.42
    0.0819      9.90
    0.0920     10.34
    0.1021     10.74
    0.1122     11.13
    0.1223     11.49
    0.1323     11.84
    0.1424     12.18
    0.1525     12.50
    0.1626     12.82
    0.1727     13.13
    0.1828     13.44
    0.1929     13.74
    0.2030     14.04
    0.2131     14.33
    0.2231     14.63
    0.2332     14.92
    0.2433     15.22
    0.2534     15.51
    0.2635     15.81
    0.2736     16.11
    0.2837     16.42
    0.2938     16.72
    0.3039     17.03
    0.3139     17.34
    0.3240     17.66
    0.3341     17.98
    0.3442     18.31
    0.3543     18.64
    0.3644     18.98
    0.3745     19.33
    0.3846     19.67
    0.3947     20.03
    0.4047     20.38
    0.4148     20.75
    0.4249     21.11
    0.4350     21.48
    0.4451     21.85
    0.4552     22.23
    0.4653     22.60
    0.4754     22.98
    0.4855     23.35
    0.4955     23.72
    0.5056     24.09
    0.5157     24.46
    0.5258     24.83
    0.5359     25.19
    0.5460     25.55
    0.5561     25.90
    0.5662     26.25
    0.5763     26.60
    0.5863     26.94
    0.5964     27.28
    0.6065     27.62
    0.6166     27.96
    0.6267     28.29
    0.6368     28.63
    0.6469     28.96
    0.6570     29.29
    0.6671     29.63
    0.6772     29.96
    0.6872     30.30
    0.6973     30.64
    0.7074     30.98
    0.7175     31.33
    0.7276     31.69
    0.7377     32.04
    0.7478     32.41
    0.7579     32.78
    0.7680     33.17
    0.7780     33.56
    0.7881     33.96
    0.7982     34.38
    0.8083     34.80
    0.8184     35.25
    0.8285     35.70
    0.8386     36.17
    0.8487     36.66
    0.8588     37.16
    0.8688     37.68
    0.8789     38.21
    0.8890     38.75
    0.8991     39.32
    0.9092     39.90
    0.9193     40.49
    0.9294     41.12
    0.9395     41.77
    0.9496     42.46
    0.9596     43.21
    0.9697     44.05
    0.9798     45.02
    0.9899     46.23
    1.0000     48.02
