#      CDF      prot
#             (days)
    0.0007      0.37
    0.0108      3.12
    0.0209      4.37
    0.0310      5.21
    0.0411      5.87
    0.0512      6.42
    0.0613      6.90
    0.0713      7.34
    0.0814      7.74
    0.0915      8.12
    0.1016      8.48
    0.1117      8.82
    0.1218      9.15
    0.1319      9.47
    0.1420      9.78
    0.1521     10.08
    0.1622     10.38
    0.1723     10.67
    0.1824     10.96
    0.1925     11.25
    0.2026     11.53
    0.2127     11.81
    0.2228     12.09
    0.2329     12.36
    0.2429     12.64
    0.2530     12.91
    0.2631     13.18
    0.2732     13.46
    0.2833     13.73
    0.2934     14.00
    0.3035     14.26
    0.3136     14.53
    0.3237     14.80
    0.3338     15.06
    0.3439     15.32
    0.3540     15.58
    0.3641     15.84
    0.3742     16.10
    0.3843     16.35
    0.3944     16.61
    0.4045     16.86
    0.4145     17.11
    0.4246     17.35
    0.4347     17.60
    0.4448     17.85
    0.4549     18.09
    0.4650     18.33
    0.4751     18.58
    0.4852     18.82
    0.4953     19.06
    0.5054     19.30
    0.5155     19.54
    0.5256     19.78
    0.5357     20.03
    0.5458     20.27
    0.5559     20.51
    0.5660     20.75
    0.5761     21.00
    0.5861     21.24
    0.5962     21.48
    0.6063     21.73
    0.6164     21.97
    0.6265     22.22
    0.6366     22.47
    0.6467     22.71
    0.6568     22.96
    0.6669     23.21
    0.6770     23.46
    0.6871     23.71
    0.6972     23.97
    0.7073     24.22
    0.7174     24.48
    0.7275     24.73
    0.7376     24.99
    0.7476     25.25
    0.7577     25.51
    0.7678     25.78
    0.7779     26.05
    0.7880     26.31
    0.7981     26.59
    0.8082     26.86
    0.8183     27.14
    0.8284     27.42
    0.8385     27.70
    0.8486     28.00
    0.8587     28.29
    0.8688     28.60
    0.8789     28.91
    0.8890     29.24
    0.8991     29.57
    0.9092     29.93
    0.9192     30.30
    0.9293     30.70
    0.9394     31.13
    0.9495     31.60
    0.9596     32.13
    0.9697     32.74
    0.9798     33.48
    0.9899     34.44
    1.0000     35.88
