#      CDF      prot
#             (days)
    0.0204      0.50
    0.0303      0.60
    0.0402      0.70
    0.0501      0.80
    0.0600      0.90
    0.0699      1.00
    0.0798      1.10
    0.0897      1.20
    0.0996      1.29
    0.1095      1.38
    0.1194      1.48
    0.1293      1.57
    0.1392      1.66
    0.1491      1.75
    0.1590      1.84
    0.1689      1.93
    0.1788      2.02
    0.1887      2.11
    0.1985      2.20
    0.2084      2.29
    0.2183      2.38
    0.2282      2.47
    0.2381      2.56
    0.2480      2.65
    0.2579      2.74
    0.2678      2.83
    0.2777      2.92
    0.2876      3.01
    0.2975      3.10
    0.3074      3.19
    0.3173      3.28
    0.3272      3.37
    0.3371      3.47
    0.3470      3.56
    0.3569      3.65
    0.3668      3.75
    0.3766      3.84
    0.3865      3.94
    0.3964      4.04
    0.4063      4.14
    0.4162      4.24
    0.4261      4.34
    0.4360      4.44
    0.4459      4.55
    0.4558      4.65
    0.4657      4.76
    0.4756      4.87
    0.4855      4.98
    0.4954      5.10
    0.5053      5.21
    0.5152      5.33
    0.5251      5.46
    0.5350      5.58
    0.5449      5.71
    0.5547      5.84
    0.5646      5.98
    0.5745      6.12
    0.5844      6.26
    0.5943      6.41
    0.6042      6.57
    0.6141      6.73
    0.6240      6.90
    0.6339      7.07
    0.6438      7.26
    0.6537      7.45
    0.6636      7.65
    0.6735      7.86
    0.6834      8.08
    0.6933      8.31
    0.7032      8.55
    0.7131      8.81
    0.7230      9.08
    0.7328      9.36
    0.7427      9.66
    0.7526      9.96
    0.7625     10.28
    0.7724     10.61
    0.7823     10.95
    0.7922     11.30
    0.8021     11.65
    0.8120     12.01
    0.8219     12.38
    0.8318     12.76
    0.8417     13.14
    0.8516     13.54
    0.8615     13.94
    0.8714     14.36
    0.8813     14.80
    0.8912     15.26
    0.9011     15.75
    0.9109     16.26
    0.9208     16.80
    0.9307     17.36
    0.9406     17.96
    0.9505     18.58
    0.9604     19.24
    0.9703     19.94
    0.9802     20.68
    0.9901     21.50
    1.0000     22.45
