#      CDF      prot
#             (days)
    0.0033      3.46
    0.0133      4.61
    0.0234      5.56
    0.0335      6.38
    0.0435      7.10
    0.0536      7.75
    0.0637      8.34
    0.0737      8.88
    0.0838      9.39
    0.0939      9.86
    0.1039     10.31
    0.1140     10.73
    0.1241     11.14
    0.1341     11.52
    0.1442     11.90
    0.1543     12.26
    0.1643     12.60
    0.1744     12.94
    0.1845     13.27
    0.1945     13.59
    0.2046     13.91
    0.2147     14.21
    0.2248     14.52
    0.2348     14.81
    0.2449     15.10
    0.2550     15.39
    0.2650     15.68
    0.2751     15.96
    0.2852     16.24
    0.2952     16.52
    0.3053     16.79
    0.3154     17.06
    0.3254     17.34
    0.3355     17.61
    0.3456     17.88
    0.3556     18.15
    0.3657     18.42
    0.3758     18.69
    0.3858     18.95
    0.3959     19.22
    0.4060     19.50
    0.4160     19.77
    0.4261     20.04
    0.4362     20.31
    0.4463     20.59
    0.4563     20.86
    0.4664     21.14
    0.4765     21.42
    0.4865     21.71
    0.4966     21.99
    0.5067     22.28
    0.5167     22.57
    0.5268     22.86
    0.5369     23.16
    0.5469     23.46
    0.5570     23.76
    0.5671     24.07
    0.5771     24.38
    0.5872     24.70
    0.5973     25.01
    0.6073     25.34
    0.6174     25.67
    0.6275     26.00
    0.6375     26.34
    0.6476     26.68
    0.6577     27.03
    0.6678     27.38
    0.6778     27.74
    0.6879     28.11
    0.6980     28.48
    0.7080     28.86
    0.7181     29.24
    0.7282     29.63
    0.7382     30.03
    0.7483     30.44
    0.7584     30.86
    0.7684     31.28
    0.7785     31.71
    0.7886     32.16
    0.7986     32.61
    0.8087     33.07
    0.8188     33.54
    0.8288     34.03
    0.8389     34.52
    0.8490     35.03
    0.8590     35.55
    0.8691     36.09
    0.8792     36.65
    0.8893     37.22
    0.8993     37.82
    0.9094     38.44
    0.9195     39.08
    0.9295     39.76
    0.9396     40.47
    0.9497     41.22
    0.9597     42.03
    0.9698     42.90
    0.9799     43.85
    0.9899     44.91
    1.0000     46.13
