#      CDF      prot
#             (days)
    0.0042      1.29
    0.0142      2.16
    0.0243      2.93
    0.0343      3.69
    0.0444      4.48
    0.0545      5.37
    0.0645      6.39
    0.0746      7.63
    0.0846      9.10
    0.0947     10.57
    0.1048     11.77
    0.1148     12.70
    0.1249     13.43
    0.1349     14.04
    0.1450     14.56
    0.1550     15.01
    0.1651     15.42
    0.1752     15.79
    0.1852     16.14
    0.1953     16.46
    0.2053     16.76
    0.2154     17.04
    0.2255     17.32
    0.2355     17.58
    0.2456     17.83
    0.2556     18.07
    0.2657     18.31
    0.2758     18.53
    0.2858     18.76
    0.2959     18.98
    0.3059     19.19
    0.3160     19.40
    0.3261     19.61
    0.3361     19.81
    0.3462     20.01
    0.3562     20.21
    0.3663     20.41
    0.3763     20.61
    0.3864     20.81
    0.3965     21.00
    0.4065     21.20
    0.4166     21.39
    0.4266     21.59
    0.4367     21.79
    0.4468     21.98
    0.4568     22.18
    0.4669     22.38
    0.4769     22.59
    0.4870     22.79
    0.4971     23.00
    0.5071     23.20
    0.5172     23.42
    0.5272     23.63
    0.5373     23.85
    0.5473     24.07
    0.5574     24.30
    0.5675     24.53
    0.5775     24.77
    0.5876     25.01
    0.5976     25.26
    0.6077     25.51
    0.6178     25.77
    0.6278     26.03
    0.6379     26.30
    0.6479     26.57
    0.6580     26.85
    0.6681     27.13
    0.6781     27.41
    0.6882     27.70
    0.6982     27.99
    0.7083     28.28
    0.7183     28.57
    0.7284     28.86
    0.7385     29.15
    0.7485     29.45
    0.7586     29.74
    0.7686     30.04
    0.7787     30.34
    0.7888     30.63
    0.7988     30.93
    0.8089     31.23
    0.8189     31.53
    0.8290     31.84
    0.8391     32.14
    0.8491     32.45
    0.8592     32.76
    0.8692     33.08
    0.8793     33.41
    0.8894     33.74
    0.8994     34.08
    0.9095     34.43
    0.9195     34.79
    0.9296     35.18
    0.9396     35.59
    0.9497     36.03
    0.9598     36.53
    0.9698     37.12
    0.9799     37.85
    0.9899     38.96
    1.0000     43.32
