#      CDF      prot
#             (days)
    0.0090      0.22
    0.0190      0.45
    0.0291      0.67
    0.0391      0.86
    0.0491      1.05
    0.0591      1.22
    0.0691      1.39
    0.0791      1.55
    0.0891      1.71
    0.0991      1.86
    0.1091      2.00
    0.1191      2.15
    0.1292      2.29
    0.1392      2.42
    0.1492      2.56
    0.1592      2.69
    0.1692      2.82
    0.1792      2.95
    0.1892      3.07
    0.1992      3.20
    0.2092      3.32
    0.2192      3.45
    0.2292      3.57
    0.2393      3.69
    0.2493      3.81
    0.2593      3.93
    0.2693      4.05
    0.2793      4.17
    0.2893      4.29
    0.2993      4.41
    0.3093      4.52
    0.3193      4.64
    0.3293      4.75
    0.3394      4.87
    0.3494      4.98
    0.3594      5.10
    0.3694      5.21
    0.3794      5.33
    0.3894      5.44
    0.3994      5.55
    0.4094      5.67
    0.4194      5.78
    0.4294      5.89
    0.4395      6.01
    0.4495      6.12
    0.4595      6.23
    0.4695      6.34
    0.4795      6.46
    0.4895      6.57
    0.4995      6.69
    0.5095      6.80
    0.5195      6.92
    0.5295      7.03
    0.5396      7.15
    0.5496      7.27
    0.5596      7.39
    0.5696      7.51
    0.5796      7.63
    0.5896      7.76
    0.5996      7.88
    0.6096      8.01
    0.6196      8.14
    0.6296      8.27
    0.6396      8.40
    0.6497      8.54
    0.6597      8.68
    0.6697      8.82
    0.6797      8.97
    0.6897      9.11
    0.6997      9.27
    0.7097      9.42
    0.7197      9.58
    0.7297      9.74
    0.7397      9.91
    0.7498     10.08
    0.7598     10.26
    0.7698     10.45
    0.7798     10.63
    0.7898     10.83
    0.7998     11.03
    0.8098     11.24
    0.8198     11.46
    0.8298     11.69
    0.8398     11.93
    0.8499     12.19
    0.8599     12.45
    0.8699     12.74
    0.8799     13.05
    0.8899     13.38
    0.8999     13.75
    0.9099     14.16
    0.9199     14.63
    0.9299     15.17
    0.9399     15.81
    0.9500     16.58
    0.9600     17.48
    0.9700     18.51
    0.9800     19.64
    0.9900     21.01
    1.0000     23.05
